,Unnamed: 0,question_type,has_solution,exam_year,semester,moed,question_number,url,points,question_translation_latex,dataset,answer_translation_latex,chat_answer_new,is_chat_correct,is_ptbs_good,chat_grade
15,588,A,True,2016,b,a,3-a,T3/ds16BA-sol.pdf,15,,tested,"```latex
 Let's note that there is no need to keep all \( n \) bids, only the highest bid for each product. We will store in a Fibonacci max-heap \( H \) the highest bid for product \( j \) (key = price \( p \), value = product number \( j \)). Additionally, we will maintain an array of \( m \) pointers into \( H \) (where \( j \) points to the bid for product \( j \)).
 
 \textbf{Init:} We construct an empty heap \( H \), insert into it a bid with zero price for each of the products and store the pointers in the array.
 
 \textbf{Bid:} If \( p \) is greater than the current bid for product \( j \) (which we find in constant time using the pointer), we perform an \texttt{Increase-Key} in \( H \) for this product, otherwise we ignore it (assuming the product has not yet been sold). In a Fibonacci heap, this is \( O(1) \) amortized.
 
 \textbf{Sell:} We perform \texttt{Delete-Max} on \( H \) and return the product \( j \) and its price \( p \). There are at most \( m \) bids in \( H \) and therefore this costs \( O(\log m) \) amortized.
 ```",Find the derivative of the function \[ f(x) = 3x^4 + 2x^3 - 5x^2 + 2 \],missing definition,,1
17,593,A,True,2016,b,a,6,T3/ds16BA-sol.pdf,15,"```latex
 The computer contains a large number of pages on the disk. The computer receives a stream of requests for different pages. To facilitate quick access to the pages, we have a cache memory of size \( n \) pages where we store the most recently requested pages, i.e., those that have been requested recently (LRU model).
 
 Example: Suppose \( n = 4 \). After the stream of requests 6, 5, 9, 4, 5, 4, 7, the cache will contain the pages 7, 4, 5, 9, where 7 is the freshest and 9 is the stalest. If the next request is for page 3, then 9 will be evicted from the cache.
 
 You need to implement a data structure for maintaining the cache that supports the following commands:
 \begin{itemize}
  \item \texttt{Init(n)} ג€“ Initialize the structure with \( n \) slots for pages and no requests.
  \item \texttt{Access(x)} ג€“ Access page \( x \). If the page \( x \) is already in the structure, update the structure so that \( x \) becomes the freshest; otherwise, insert \( x \) as the freshest page and evict the stalest page if necessary. The command should run in expected time \(\mathcal{O}(1)\).
 \end{itemize}
 ```",tested,"```latex
 We will store the page numbers in the cache as a (linked list sorted by recency, with the most recent at the end of the queue) with a length field, and also maintain a hash table that maps each page \( x \) in the cache to its node in the queue.
 
 \textbf{Init:} Initialize an empty hash table with size \( 2n \) and an empty queue.
 
 \textbf{Access:} If \( x \) appears in the hash, remove it from its current position in the queue (via the pointer) and insert it at the end of the queue. If \( x \) does not appear in the hash, create a node list for it, insert it at the end of the queue, and save \( x \) in the hash table along with the pointer to the node.
 
 If the length of the queue has increased to \( n+1 \), then remove the page \( y \), which is at the head of the queue, both from the queue and from the hash.
 
 We used a fixed number of operations in the hash table (each with an average of \( O(1) \)) and in the queue (each with \( O(1) \) because we accessed the head, tail, or via a pointer).
 ```","The solution using a doubly linked list and a hashmap to achieve \(\mathcal{O}(1)\) time complexity for the \texttt{Access(x)} operation is as follows:
 
 \[
 \begin{array}{l}
 \text{struct Node:} \\
 \hspace{10mm} \text{int key, val;} \\
 \hspace{10mm} \text{Node* prev, next;} \\
 \\
 \text{class LRUCache:} \\
 \hspace{10mm} \text{private:} \\
 \hspace{15mm} \text{unordered\_map<int, Node*> cache;} \\
 \hspace{15mm} \text{Node* head, tail;} \\
 \hspace{15mm} \text{int capacity, count;} \\
 \\
 \hspace{10mm} \text{public:} \\
 \hspace{15mm} \text{LRUCache(int n) \{} \\
 \hspace{20mm} \text{head = new Node();} \\
 \hspace{20mm} \text{tail = new Node();} \\
 \hspace{20mm} \text{head->next = tail;} \\
 \hspace{20mm} \text{tail->prev = head;} \\
 \hspace{20mm} \text{capacity = n;} \\
 \hspace{20mm} \text{count = 0;} \\
 \hspace{15mm} \} \\
 \\
 \hspace{15mm} \text{void addNode(Node* node) \{} \\
 \hspace{20mm} \text{Node* temp = head->next;} \\
 \hspace{20mm} \text{head->next = node;} \\
 \hspace{20mm} \text{node->prev = head;} \\
 \hspace{20mm} \text{node->next = temp;} \\
 \hspace{20mm} \text{temp->prev = node;} \\
 \hspace{15mm} \} \\
 \\
 \hspace{15mm} \text{void removeNode(Node* node) \{} \\
 \hspace{20mm} \text{Node* prevNode = node->prev;} \\
 \hspace{20mm} \text{Node* nextNode = node->next;} \\
 \hspace{20mm} \text{prevNode->next = nextNode;} \\
 \hspace{20mm} \text{nextNode->prev = prevNode;} \\
 \hspace{15mm} \} \\
 \\
 \hspace{15mm} \text{void moveToFront(Node* node) \{} \\
 \hspace{20mm} \text{removeNode(node);} \\
 \hspace{20mm} \text{addNode(node);} \\
 \hspace{15mm} \} \\
 \\
 \hspace{15mm} \text{int Access(int x) \{} \\
 \hspace{20mm} \text{if(cache.find(x) != cache.end()) \{} \\
 \hspace{25mm} \text{Node* node = cache[x];} \\
 \hspace{25mm} \text{moveToFront(node);} \\
 \hspace{25mm} \text{return node->val;} \\
 \hspace{20mm} \} else \{} \\
 \hspace{25mm} \text{if(count == capacity) \{} \\
 \hspace{30mm} \text{Node* toRemove = tail->prev;} \\
 \hspace{30mm} \text{removeNode(toRemove);} \\
 \hspace{30mm} \text{cache.erase(toRemove->key);} \\
 \hspace{30mm} \text{delete toRemove;} \\
 \hspace{25mm} \} \\
 \hspace{25mm} \text{Node* newNode = new Node();} \\
 \hspace{25mm} \text{newNode->key = x;} \\
 \hspace{25mm} \text{newNode->val = getFromDisk(x);} \\
 \hspace{25mm} \text{addNode(newNode);} \\
 \hspace{25mm} \text{cache[x] = newNode;} \\
 \hspace{25mm} \text{count++;} \\
 \hspace{25mm} \text{return newNode->val;} \\
 \hspace{20mm} \} \\
 \hspace{15mm} \} \\
 \end{array}
 \]",yes,yes,4
18,599,A,True,2017,a,a,2-a,T3/ds17AA-sol.pdf,na,"```latex
 Given an ordered set \( S \). We define the rank of an element in a certain set as its position in a sorted array of the elements (with all elements having distinct values). Throughout the question, \( n \) denotes the current number of elements in the desired data structure.
 
 1. Describe a data structure that supports the following operations:
  \begin{itemize}
  \item \texttt{Init()} ג€“ Initialize the structure in \( O(1) \) time.
  \item \texttt{Insert(x)} ג€“ Insert the element \( x \) into \( S \) in \( O(\log n) \) time.
  \item \texttt{Delete(x)} ג€“ Delete the element \( x \) from \( S \) in \( O(\log n) \) time.
  \item \texttt{Min()} ג€“ Return the element with the minimum rank in \( O(1) \) time.
  \item \texttt{Max()} ג€“ Return the element with the maximum rank in \( O(1) \) time.
  \item \texttt{AVG()} ג€“ Return the element with the smallest rank such that its value is greater than or equal to the average of the elements in the structure in \( O(1) \) time.
  \end{itemize}
 ```",tested,"```latex
 We will use a balanced binary tree with auxiliary fields that are updated with every insert/delete operation: pointers to the minimum and maximum elements (found by only traversing left or right from the root to the leaf), a pointer to the smallest element greater than or equal to the average, the number of elements in the tree, and the sum of the elements in the tree.
 
 To maintain the pointer to the average element, when inserting, we will update the fields of the number of elements and sums, compute the average, and find the element closest to it from above using a search. Similarly, for the delete operation.
 
 When calling Min/Max/AVG, we will return the element according to the appropriate pointer.
 ```","To achieve the desired data structure, we can use a balanced binary search tree (such as AVL tree, red-black tree, etc.) to store the elements in the set \( S \). 
 
 1. \texttt{Init()} ג€“ Initialize the structure can be done by creating an empty balanced binary search tree. This can be done in \( O(1) \) time.
 
 2. \texttt{Insert(x)} ג€“ To insert an element \( x \) into the set \( S \), we can simply insert \( x \) into the balanced binary search tree. Since the tree is balanced, the insertion operation takes \( O(\log n) \) time.
 
 3. \texttt{Delete(x)} ג€“ To delete an element \( x \) from the set \( S \), we can simply delete \( x \) from the balanced binary search tree. Since the tree is balanced, the deletion operation takes \( O(\log n) \) time.
 
 4. \texttt{Min()} ג€“ The element with the minimum rank in the set will be the leftmost element in the balanced binary search tree. Thus, we can return this element in \( O(1) \) time.
 
 5. \texttt{Max()} ג€“ The element with the maximum rank in the set will be the rightmost element in the balanced binary search tree. Thus, we can return this element in \( O(1) \) time.
 
 6. \texttt{AVG()} ג€“ To find the element with the smallest rank such that its value is greater than or equal to the average of the elements in the set, we first find the sum of all elements in the balanced binary search tree. Then, we can find the node whose value is the smallest one greater than or equal to the average by traversing the tree in a way that minimizes the rank. This can be done in \( O(1) \) time.
 
 Therefore, the described data structure can support all the required operations efficiently.",yes,yes,2
20,607,A,True,2017,a,a,4-a,T3/ds17AA-sol.pdf,na,"To define elements containing two fields ג€“ `type` and `value`. Let's assume the number of possible distinct values for the field `type` is \( k \). We are interested in building a data structure containing up to \( n \) elements that supports the following operations:
 - `Insert(x)` ג€“ Inserts element \( X \) into the data structure in \( O(1) \) time.
 - `AddToType(t,a)` ג€“ Increases the `value` field of all elements of type \( t \) by \( a \) in \( O(1) \) time.
 - `AddToElement(a,x)` ג€“ Takes a pointer to element \( X \) and increases its `value` field by \( a \) in amortized \( O(1) \) time.
 - `Max(t)` ג€“ Returns the maximum element among elements of type \( t \) in \( O(1) \) time.
 - `MaxAll()` ג€“ Returns the maximum element in the structure (regardless of type) in \( O(1) \) time.
 
 a. Propose such a data structure for \( k=4 \).",tested,"```latex
 We will create an array of size 4 that will hold each of the types. 
 In each cell we will maintain: 
 1. A pointer to a list that contains the elements of the same type. 
 2. The maximal element in the list. 
 3. An offset field initialized to 0. 
 
 Additionally, we will maintain a field that holds the global maximum. Upon calling Insert, we will refer to the appropriate cell in the array. We will update the type's global maximum if necessary. We will subtract from the inserted element's value the value in the offset field. Then we will insert it into the elements list. Upon calling AddToElement, we will simply update the element's value and the maximums as needed. Upon calling max/maxAll, we will return the value of the relevant max field. When calling AddToType, we will update the offset field and the relevant maximums, and the global maximum if necessary.
 ```","To define a data structure for \( k=4 \), we can use a combination of an array of doubly linked lists and a max heap.
 
 Let the data structure be represented as follows:
 
 1. An array \( A \) of size \( k \), where each element of the array is a pointer to the head of a doubly linked list.
 2. A max heap to keep track of the maximum element in the structure.
 
 Each element containing `type` and `value` fields can be represented as a node in the doubly linked list.
 
 The operations can be implemented as follows:
 
 - `Insert(x)`: Insert the element \( x \) into the doubly linked list corresponding to its `type` in constant time. Update the max heap if the inserted element has a greater `value` field than the current maximum.
 - `AddToType(t,a)`: Traverse the doubly linked list corresponding to type \( t \) and add \( a \) to the `value` field of each element in \( O(1) \) time.
 - `AddToElement(a,x)`: Given a pointer to element \( x \), update the `value` field of the element by \( a \) and adjust the max heap accordingly. Since updating a node in a linked list and adjusting the max heap both take constant time, the amortized time complexity is \( O(1) \).
 - `Max(t)`: Simply return the maximum element in the doubly linked list corresponding to type \( t \) in constant time.
 - `MaxAll()`: Return the maximum element from the max heap in constant time.
 
 This data structure achieves the desired time complexities for the specified operations.",no,yes,2
21,608,A,True,2017,a,a,4-b,T3/ds17AA-sol.pdf,na,"```latex
 \documentclass{article}
 \usepackage[utf8]{inputenc}
 
 \begin{document}
 
 Define elements containing two fields ג€“ type, value. Assume that the number of different possible values for the type field is $k$. We want to construct a data structure containing up to $n$ elements that supports the following operations:
 
 \begin{itemize}
  \item \textbf{Insert(x)} ג€“ Inserts the element $x$ into the data structure in $O(1)$ time.
  \item \textbf{AddToType(t,a)} ג€“ Increases the value field of all elements of type $t$ by $a$ in $O(1)$ time.
  \item \textbf{AddToElement(a,x)} ג€“ Receives a pointer to the element $x$ and increases its value field by $a$ in amortized $O(1)$ time.
  \item \textbf{Max(t)} ג€“ Returns the maximum element among the elements of type $t$ in $O(1)$ time.
  \item \textbf{MaxAll()} ג€“ Returns the maximum element in the structure (without type restriction) in $O(1)$ time.
 \end{itemize}
 
 b. Propose such a data structure for up to $k$ different types numbered $1, \ldots, k$.
 
 \end{document}
 ```",tested,"```latex
 We will create an array of size 4 that will hold each of the types. 
 In each cell we will maintain: 
 1. A pointer to a list that contains the elements of the same type. 
 2. The maximal element in the list. 
 3. An offset field initialized to 0. 
 
 Additionally, we will maintain a field that holds the global maximum. Upon calling Insert, we will refer to the appropriate cell in the array. We will update the type's global maximum if necessary. We will subtract from the inserted element's value the value in the offset field. Then we will insert it into the elements list. Upon calling AddToElement, we will simply update the element's value and the maximums as needed. Upon calling max/maxAll, we will return the value of the relevant max field. When calling AddToType, we will update the offset field and the relevant maximums, and the global maximum if necessary.
 ```","```latex
 To implement a data structure satisfying the specified requirements, we can use an array of linked lists. The array size would be $k$ to accommodate $k$ different types. Each element in the linked list would be a node containing the fields type, value, next, and prev.
 
 When inserting an element, we can add it to the front of the linked list corresponding to its type. This operation would take $O(1)$ time.
 
 To implement AddToType(t,a), we can iterate over the linked list corresponding to type $t$ and increase the value field of each node by $a$. This operation would also take $O(1)$ time since we only need to traverse all nodes of type $t$.
 
 AddToElement(a,x) requires having a pointer to node $x$. We can use a map data structure where the key is the address of the node and the value is a pointer to that node. This way, given a pointer to node $x$, we can directly update its value field in amortized $O(1)$ time.
 
 For Max(t), we can keep track of the maximum element in the linked list corresponding to type $t$. This maximum value would be updated when inserting a new node or when using AddToType. So, we can return this maximum value in $O(1)$ time.
 
 Lastly, for MaxAll(), we can keep track of a global maximum value across all linked lists. This maximum value would be updated when inserting a new node or when using AddToElement. Therefore, we can return this maximum value in $O(1)$ time.
 
 In summary, the proposed data structure consists of an array of linked lists with a map data structure for easy access to specific nodes. The operations Insert, AddToType, Max(t), and MaxAll can all be performed in $O(1)$ time while AddToElement can be performed in amortized $O(1)$ time.
 ```",no,yes,3
22,609,A,True,2017,a,a,4-c,T3/ds17AA-sol.pdf,na,"```latex
 Let's define elements containing two fields ג€“ type, value. Assume that the number of different possible values for the field type is \( k \). We want to construct a data structure containing up to \( n \) elements that supports the following operations:
 \begin{itemize}
  \item \texttt{Insert(x)} ג€“ Inserts the element \( X \) into the data structure in \( O(1) \) time.
  \item \texttt{AddToType(t, a)} ג€“ Increases the value field of all elements of type \( t \) by \( a \) in \( O(1) \) time.
  \item \texttt{AddToElement(a, x)} ג€“ Receives a pointer to element \( X \) and increases its value field by \( a \) in amortized \( O(1) \) time.
  \item \texttt{Max(t)} ג€“ Returns the maximum element among the elements of type \( t \) in \( O(1) \) time.
  \item \texttt{MaxAll()} ג€“ Returns the maximum element in the structure (without restriction on type) in \( O(1) \) time.
 \end{itemize}
 
 \textbf{c.} Add the operation \texttt{del(X)} (which receives a pointer to an element \( X \) and deletes it from the structure) in amortized \( O(\log n) \) time. Now, \texttt{insert} and \texttt{addToType} should run in amortized \( O(1) \) time.
 ```",tested,"```latex
 Maintain a Fibonacci heap for each type with an offset field, as well as a Fibonacci heap that contains the maximum of each type. In every relevant operation, ensure to maintain pointers from the maximum elements of the type heaps to the corresponding elements in the global heap. Now, for the operations insert/addToType/addToElement, work within the appropriate type heap, and if necessary, update the corresponding element in the global heap using increase-key. We may also need to update the pointer. Similarly, for the delete operation: remove the element from the appropriate heap, and if necessary, remove it (using the pointer we maintained) from the global heap and insert the new maximum of the type into it. Max/maxAll will return the maximum of a specific type heap or of the global heap. The runtime of the operations we mentioned in Fibonacci heaps meets the requirements.
 ```","To add the \texttt{del(X)} operation in amortized \( O(\log n) \) time, we can use a combination of data structures: a hash table to store the elements, a doubly linked list to maintain the order of elements, and a binary search tree (such as AVL tree or Red-Black tree) to keep track of the maximum element in each type.
 
 Here is the solution in Latex format:
 
 ```latex
 \textbf{Solution:}
 
 To achieve the desired time complexity for the \texttt{del(X)} operation, we can maintain a hash table to store the elements with their pointers and a doubly linked list to keep track of the order of elements. Additionally, we will use a binary search tree to maintain the maximum element in each type.
 
 The hash table will have entries in the form of \texttt{<element, pointer to element in linked list>}. The doubly linked list will allow \texttt{Insert} and \texttt{AddToType} to run in amortized \( O(1) \) time. 
 
 For the binary search tree, each node will represent the maximum element in a particular type. Whenever an element is inserted or deleted, we will update the corresponding nodes in the tree. 
 
 When deleting an element \( X \) from the structure using \texttt{del(X)}, we can find the pointer to its corresponding entry in the hash table in \( O(1) \) time, update the binary search tree if necessary, and remove the element from the linked list in \( O(1) \) time. Since updating the binary search tree may take \( O(\log n) \) time in the worst case, the amortized time complexity of \texttt{del(X)} will be \( O(\log n) \).
 
 With this setup, all operations will have the desired time complexity as follows:
 - \texttt{Insert(x)} and \texttt{AddToType(t, a)} will run in amortized \( O(1) \) time.
 - \texttt{AddToElement(a, x)}, \texttt{Max(t)}, and \texttt{MaxAll()} will still run in \( O(1) \) time.
 - \texttt{del(X)} will run in amortized \( O(\log n) \) time.
 
 This data structure provides efficient support for the given operations with the specified time complexities. 
 ```",no,yes,2
23,611,A,True,2018,B,B,1-a,T3/ds18bb_sol100(vaad).pdf,5,"```latex
 In this question, we will deal with a data structure for storing a set of elements \(D\). Each element \(x\) in the set has a key, which is an integer in a computer word. We assume that the keys of all elements in \(D\) are different from each other. The operations that can be performed on the data structure are:
 - \texttt{Insert}(D, x) - Insert the element \(x\) into \(D\). (It can be assumed that \(x\) is not in \(D\)).
 - \texttt{FindByKey}(D, k) - Returns the element in \(D\) with key \(k\), if such exists, otherwise returns \texttt{null}.
 - \texttt{FindByIndex}(D, i) - Returns the \(i\)-th element that was inserted into \(D\).
 
 For example, if \(n\) elements were inserted into \(D\), then \texttt{FindByIndex}(D, n) will return the last element inserted, and \texttt{FindByIndex}(D, 3) will return the third element inserted.
 
 Let \(n\) denote the number of elements in \(D\).
 
 (a) Describe a deterministic data structure in which \texttt{FindByIndex}(D, i) and \texttt{Insert}(D, x) take \(O(1)\) time, and \texttt{FindByKey}(D, k) takes \(O(n)\) time. The memory size used by the data structure should be \(O(n)\). The required bounds are worst-case. (Partial credit will be given for solutions presenting an analysis of amortized bounds).
 ```",tested,"```latex
 \documentclass{article}
 \usepackage{hebfont}
 
 \begin{document}
 \textbf{A.} 
 We will use an array with a resizing algorithm as taught in the lecture on amortization ג€“ instead of waiting for it to be full and then transferring everything at once to a larger array, ensure the transfer of information in parts: every time an insert is made after the current array is more than half full, free up two spaces in the new array and transfer two elements to it.
 
 \textbf{Insert:} As we said ג€“ initially allocate an empty array of fixed size (for example, 4), every insertion after it is more than half-full will free up two spaces in the new array and insert two elements into them. This way, the current array is filled, the new array is exactly half full, and ready for us to work with. A fixed number of operations and therefore \(O(1)\) worst case (the insertions are, of course, Insert-last).
 
 \textbf{FindByKey:} Go through all the elements of the array until found, or until the array ends. \(O(n)\) W.C..
 
 \textbf{FindByIndex:} This is an array. \(O(1)\) W.C..
 \end{document}
 ```","To achieve the desired time complexities, we can use a combination of two data structures: an array and a hash table.
 
 Let's denote the array as \(A\) and the hash table as \(H\). The array \(A\) will store the elements inserted in the order they were added, and the hash table \(H\) will map keys to their corresponding indices in the array \(A\).
 
 1. \texttt{Insert}(D, x):
  - Add the element \(x\) to the end of the array \(A\).
  - Insert the key-value pair \((\text{key}(x), \text{index}(x))\) into the hash table \(H\), where \(\text{key}(x)\) is the key of \(x\) and \(\text{index}(x)\) is the index of \(x\) in the array \(A\).
 
 2. \texttt{FindByKey}(D, k):
  - If \(k\) does not exist in the hash table \(H\), return \texttt{null}.
  - Otherwise, retrieve the value associated with key \(k\) in the hash table, say \(i\), and return \(A[i]\).
 
 3. \texttt{FindByIndex}(D, i):
  - If \(i\) is not a valid index in the array \(A\) (i.e., \(i < 0\) or \(i \geq \text{length}(A)\)), return \texttt{null}.
  - Otherwise, return \(A[i]\).
 
 This data structure satisfies the required time complexities:
 - \texttt{Insert}(D, x) takes \(O(1)\) time as we simply append the element to the end of the array and insert a key-value pair into the hash table.
 - \texttt{FindByIndex}(D, i) takes \(O(1)\) time as we directly access the element at index \(i\) in the array.
 - \texttt{FindByKey}(D, k) takes \(O(1)\) time to retrieve the index from the hash table and then access the corresponding element in the array.
 
 The memory size used by this data structure is \(O(n)\) since the array \(A\) and the hash table \(H\) both use space proportional to the number of elements in \(D\), \(n\).
 
 Therefore, we have designed a deterministic data structure that satisfies the required bounds.",no,yes,2
25,614,A,True,2018,B,B,1-d,T3/ds18bb_sol100(vaad).pdf,5,"```latex
 d. Describe a deterministic data structure in which the three operations Insert(D, i, x), FindByIndex(D, i), and FindByKey(D, k) take O(\log n) worst-case time. The memory size used by the data structure should be O(n).
 ```",tested,"```latex
 D. We will construct two WAVL trees, one sorted by index and the other by key. Insertion into each tree is \( O(\log n) \), so it is the same for both. Searching will be done in the appropriate tree, \( O(\log n) \) W.C.
 ```","A deterministic data structure that satisfies the above conditions is a balanced binary search tree. 
 
 In a balanced binary search tree, such as AVL tree or Red-Black tree, the height of the tree is always logarithmic in the number of nodes (n) in the tree. This ensures that both insertion and find operations take O(\log n) worst-case time.
 
 The memory size used by a balanced binary search tree is O(n) since each node in the tree requires a constant amount of memory to store the key, value, pointers to its children, and any additional metadata needed for balancing.
 
 Therefore, a balanced binary search tree is a deterministic data structure in which Insert, FindByIndex, and FindByKey operations take O(\log n) worst-case time, while the memory size used is O(n).",missing definition,yes,3
26,615,A,True,2018,B,B,1-e,T3/ds18bb_sol100(vaad).pdf,5,"```latex
 \text{h. Describe a data structure where } \text{Insert}(D,i,x) \text{ takes } O(\log(i+1)) \text{ amortized time, } \text{FindByIndex}(D,i) \text{ takes } O(\log(i+1)) \text{ worst-case and amortized time, and } \text{FindByKey}(D,k) \text{ takes } O(1) \text{ expected time. The memory size used by the data structure should be } O(n).
 ```",tested,"```latex
 We maintain two data structures ג€“ a FingerSearch tree sorted by index, and a hash table for keys with chaining that inserts at the head of the list (which is \(O(1)\) in the worst case without affecting the complexity of the insertion). The table starts with a fixed size but when the load factor exceeds half, we perform rehashing to a table twice as large. Therefore, the insertion complexity is amortized: inserting into the tree takes \(O(\log(i+1))\) amortized, and into the table \(O(1)\) amortized. Together, they are \(O(\log(i+1))\) amortized.
 
 FindByIndex in the tree takes \(O(\log(i+1))\) in the worst case according to the FingerSearch tree algorithmics. 
 
 FindByKey will take \(O(1)\) on average because the hash table is large enough (a load factor less than or equal to 0.5 means that on average there is less than one collision per cell in the table).
 ```","To achieve the desired time complexities for the operations while maintaining a memory size of O(n), we can use a combination of a dynamic array (or resizable array) and a hash table.
 
 Let us define the data structure D as follows:
 - The dynamic array will store the elements in order, allowing us to insert elements at index i in O(1) expected time.
 - The hash table will store key-value pairs where the key is the element in the dynamic array and the value is the index of that element in the dynamic array. This will allow us to find an element by key in O(1) expected time.
 - The dynamic array will have extra memory allocated beyond the current size of n, to prevent frequent resizing of the array.
 
 Now let's describe the operations:
 1. Insert(D,i,x): To insert element x at index i in the dynamic array, we shift the elements after index i to the right to make space for x. This can be done in O(i+1) time (linear to the position of insertion). Since we have extra memory allocated in the dynamic array, we can accommodate such shifts without resizing the array frequently. As a result, the amortized time complexity for insert operation becomes O(log(i+1)).
 
 2. FindByIndex(D,i): To find the element at index i in the dynamic array, we can directly access it in O(1) worst-case time. As the dynamic array is storing elements in order, finding an element by index will also take O(1) amortized time.
 
 3. FindByKey(D,k): To find the element with key k, we can directly look up the hash table for the index of that key in O(1) expected time. Then we can use this index to access the element from the dynamic array. This results in an overall time complexity of O(1) expected time.
 
 In summary, by combining a dynamic array and a hash table in the described manner, we can achieve the desired time complexities for the operations Insert, FindByIndex, and FindByKey while using O(n) memory size.",no,yes,2
27,616,A,True,2018,B,B,2-a,T3/ds18bb_sol100(vaad).pdf,5,"```latex
 % The following is a translation from Hebrew to English in LaTeX format.
 
 In this question, we will discuss a data structure that supports a collection of lists. Each list consists of items. Each item can belong to at most one list. The operations on the data structure are:
 
 - \( X \leftarrow \text{Item()} \): Create a new item \( X \) that does not belong to any list.
 - \( \text{InsertAfter}(X, Y) \): Insert \( Y \) immediately after \( X \) in the list in which \( X \) is found. Before this operation, \( Y \) must not already be in any list. If \( X \) is not yet in any list, a new list containing both items \( X \) and \( Y \) is created.
 - \( \text{AfterQ}(X, Y) \): Return \( \text{True} \) if \( X \) is after \( Y \) in the list, \( \text{False} \) otherwise. (Note that \( Y \) does not need to be immediately preceding \( X \); if \( X \) and \( Y \) are not in the same list, the answer should be \( \text{False} \).
 
 In all parts, the operation \( \text{Item()} \) must be implemented in constant time. Also, \( n \) is always the length of the list to which the item \( X \) belongs.
 
 a. Describe a data structure that implements \( \text{InsertAfter}(X, Y) \) in \( O(1) \) time and \( \text{AfterQ}(X, Y) \) in \( O(n) \) time. (Both times are worst-case).
 ```
 
 This LaTeX document includes the necessary formatting for mathematical expressions and provides a structured translation of the original Hebrew text.",tested,Linked list. Insert-After: We will implement it such that it takes O(1). AfterQ: We will go through the list where x exists by order until we find x or achieve the end of the list - Complexity AfterQ O(n) Worst case.,"To implement the data structure supporting the operations \( \text{InsertAfter}(X, Y) \) in \( O(1) \) time and \( \text{AfterQ}(X, Y) \) in \( O(n) \) time, we can use a combination of doubly linked lists and hash tables.
 
 Let's define the following data structures:
 - Doubly linked list to represent each list where each node contains a reference to the item and pointers to the previous and next nodes.
 - Hash table to map each item to its corresponding node in the doubly linked list.
 
 The operations are as follows:
 
 - \( X \leftarrow \text{Item()} \): Create a new item \( X \) and a new node for \( X \) in the doubly linked list. Add an entry in the hash table mapping \( X \) to its node.
 - \( \text{InsertAfter}(X, Y) \): Retrieve the node corresponding to \( X \) from the hash table. If \( X \) doesn't belong to any list yet, create a new doubly linked list with a single node containing \( X \) and update the hash table. Then, insert \( Y \) after \( X \) in the list by updating the pointers of nodes accordingly.
 - \( \text{AfterQ}(X, Y) \): Retrieve the nodes corresponding to \( X \) and \( Y \) from the hash table. Traverse the list starting from the node of \( X \) and check if \( Y \) is found along the way. If \( Y \) is found after \( X \), return \( \text{True} \); otherwise, return \( \text{False} \).
 
 With this implementation, \( \text{InsertAfter}(X, Y) \) can be done in \( O(1) \) time as it involves updating pointers, and \( \text{AfterQ}(X, Y) \) takes \( O(n) \) time in the worst case since it requires traversing the list to find the position of \( Y \) relative to \( X \).",no,yes,4
28,617,A,True,2018,B,B,2-b,T3/ds18bb_sol100(vaad).pdf,5,"```latex
 b. Describe a data structure that implements \( \text{InsertAfter}(X, Y) \) and \( \text{AfterQ}(X, Y) \) in \( O(\log n) \) time. (Both times are worst-case).
 ```",tested,"We will use WAVL tree. Insert: takes O(logn) W.C. AfterQ: from two node X, Y we will go up to the root and save the path in a stack, if the root is different we will return false, if the root is the same, we will go through the stacks until the first corresponding nodes that are different where will return true - Complexity of AfterQ is O(logn) W.C.","To achieve \( O(\log n) \) time complexity for both operations, we can use a data structure based on a balanced binary search tree. 
 
 For \( \text{InsertAfter}(X, Y) \), we can follow these steps:
 1. Search for the node containing \( X \) in the binary search tree which will take \( O(\log n) \) time.
 2. Insert a new node containing \( Y \) after the \( X \) node. This can also be done in \( O(\log n) \) time in a balanced binary search tree.
 
 For \( \text{AfterQ}(X, Y) \), we can follow these steps:
 1. Search for the node containing \( X \) in the binary search tree, which will take \( O(\log n) \) time.
 2. Find the successor of the node containing \( X \) in the binary search tree. This operation can be done in constant time if each node maintains a pointer to its successor.
 
 Therefore, by using a balanced binary search tree where each node maintains a pointer/reference to its successor, we can implement both \( \text{InsertAfter}(X, Y) \) and \( \text{AfterQ}(X, Y) \) operations in \( O(\log n) \) time.",missing definition,yes,3
