question_type,has_solution,exam_year,semester,moed,question_number,url,data_resource,points,question_translation_latex,multiple_choice_answer,answer_translation_latex,number_of_possible_answers,topics_covered,dataset,translated_separately,question_in_hebrew,answer_in_hebrew,orig_answer_in_eng,should_translate,question_id,comments
A,FALSE,2001,a,b,12,https://docs.google.com/document/d/1m9QlOxr3Vv3z0TqwfYVvZtR-cgSUOuuc,TAU,na,na,na,na,na,na,na,1,"נתונים n קטעים [ ai, bi ].  (לכל i מתקיים ai < bi).
ידוע שלכל קטע bi הוא מספר שלם בתחום n2...1 (אבל זה לא בהכרח נכון עבור המספרים ai).
רוצים להכריע האם כל הקטעים זרים. 
מצאו אלגוריתם יעיל ככל האפשר לפתרון הבעיה הנ""ל",na,,,,
D,FALSE,2001,b,a,1,https://docs.google.com/document/d/1oTX1kHKgw8iBufPGBn9d1Tzmll5dgOIz,TAU,na,"\text{In a sequence of } N \text{ Insert operations into an initially empty red-black tree:}

\text{Let } F(N) \text{ be the total number of rotation operations in the worst case.}

\text{Let } G(N) \text{ be the total number of computer operations in the worst case.}

\text{What is the tightest upper bound for the ratio } G(N)/F(N)?

\begin{enumerate}
    \item $\theta(1)$
    \item $\theta(\log(N))$
    \item $\theta(N)$
    \item $\theta(N \log(N))$
\end{enumerate}",na,na,na,"a,f",untested,1,"בסדרה של N פעולות Insert לעץ אדום שחור (ריק מלכתחילה):
יהא F(N) מספר פעולות הרוטציה הכולל במקרה הגרוע ביותר.
יהא G(N) מספר פעולות המחשב הכולל במקרה הגרוע ביותר. 

מה החסם העליון ההדוק ביותר ליחס  G(N)/F(N)?
א. θ(1)
ב. θ (lg(N))
ג. θ (N)
ד. θ (Nlg(N))",na,,,,
D,FALSE,2001,b,a,2,https://docs.google.com/document/d/1oTX1kHKgw8iBufPGBn9d1Tzmll5dgOIz,TAU,na,"Given a binary tree of size \(N\). We want to ensure it is a search tree. The WC complexity of the most efficient algorithm for performing the check is: \\
a. \(\Theta(\log(N))\) \\
b. \(\Theta(N)\) \\
c. \(\Theta(N \log(N))\) \\
d. Depends on the height of the tree.",na,na,na,"a,e",untested,1,"נתון עץ בינארי בגודל N. רוצים לוודא שהוא עץ חיפוש. סיבוכיות ה-WC של האלגוריתם  היעיל ביותר לביצוע הבדיקה הוא
א. θ (lg(N))
ב. θ (N)
ג. θ ( Nlg(N))
ד. תלוי בגובה העץ. ",na,,,,
D,FALSE,2001,b,a,3,https://docs.google.com/document/d/1oTX1kHKgw8iBufPGBn9d1Tzmll5dgOIz,TAU,na,na,na,na,na,"a,d,k",na,1," מערך בעל n איברים יקרא ""מוגזם"" אם יש בו שלושה ערכים שכל אחד מהם מופיע לפחות n*(1-1/log(n))*3 פעמים, ושאר הערכים מופיעים לכל היותר פעמיים כל אחד. מהו החסם התחתון של ה-Worst Case של אלגוריתם מיון של מערך ""מוגזם""?
א. θ (n)
ב. θ (n lg  lg (n)) 
ג. θ (n lg (n))
ד. θ(nloglog(n)/log(n))",na,,,,
D,FALSE,2001,b,a,4,https://docs.google.com/document/d/1oTX1kHKgw8iBufPGBn9d1Tzmll5dgOIz,TAU,na,na,na,na,na,"a,h",na,1,"נתונות שתי ערמות מקסימום (heap max) בגודל N. רוצים לאחד אותן לערימה חוקית אחת. ניתן לבצע זאת בזמן:
א. θ (lg(N))
ב. θ (N)
ג. θ ( Nlg(N))
ד. אף תשובה אינה נכונה (למעט ד').",na,,,,
D,FALSE,2001,b,a,5,https://docs.google.com/document/d/1oTX1kHKgw8iBufPGBn9d1Tzmll5dgOIz,TAU,na,"
Given a hash table (with a hash function randomly chosen from a universal set). In this table, collisions are resolved as follows: 
each element mapped to a non-empty cell is stored in a red-black tree shared by the entire table. 
Search is performed by checking the appropriate cell (using the hash function), 
and if the cell is not empty and the desired element is not found there, search is done in the tree. 
Let \( B \) be the size of the table, \( N \) the number of elements, and \( \alpha = \frac{N}{B} \). 
The expected unsuccessful search time is:
\begin{enumerate}
    \item \( \Theta(1 + \alpha) \) on average if \( B = \Theta(N) \).
    \item \( \Theta(1) \) on average if \( N^2 = B \); 
    \( \Theta(\log N) \) on average if \( 10 \cdot N = B \).
    \item \( \Theta(1) \) in the worst case if \( N^2 = B \) 
    (the worst case is on all sequences of \( N \) elements and function choices); 
    \( \Theta(\log N) \) in the worst case if \( 10 \cdot N = B \).
    \item \( \theta\left(\frac{\log(N-B)}{B}\right) \) on average.
\end{enumerate}
",na,na,na,"a,f,g",tested,1,"נתונה טבלת Hash (עם פונקצית Hash שנבחרת באופן אקראי מקבוצה אוניברסלית). בטבלה זו התנגשויות נפתרות באופן הבא:
כל איבר שממופה לתא שאינו ריק, נשמר בעץ אדום שחור משותף לכל הטבלה. חיפוש מתבצע על ידי בדיקת  התא המתאים (באמצעות פונקצית ה-Hash), ואם התא אינו ריק, והאיבר הרצוי אינו נמצא שם – מחפשים בעץ.
יהא B גודל הטבלה, N – מספר האיברים ו- α=N/B. 
זמן חיפוש כושל הוא:
א.   Θ(1+α) בתוחלת אם  B=Θ (N). 
ב.   Θ(1) בתוחלת אם N2=B; Θ(log N) בתוחלת אם 10⋅N=B.
ג.   Θ(1) ב-worst case  אם N2=B ( ה-worst case  הוא על כל הסדרות
      של N איברים ובחירות הפונקציות); Θ(log N) ב-worst case אם
      10⋅N=B.

ד. θ(log(N-B)/B) בתוחלת. ",na,,,,
D,FALSE,2001,b,a,6,https://docs.google.com/document/d/1oTX1kHKgw8iBufPGBn9d1Tzmll5dgOIz,TAU,na,"\noindent Given an array with \( N \) elements. It is known that one value appears exactly \( \frac{2}{N} \) times, another value exactly \( \frac{4}{N} \) times, another value \( \frac{8}{N} \) times, etc. What is the runtime of the most efficient sorting algorithm (in the comparison model) for this array (WC)?\\
A. \( \Theta (\log (N)) \)\\
B. \( \Theta (N) \)\\
C. \( \Theta (N \log\log (N)) \)\\
D. \( \Theta (N \log (N)) \)",na,na,na,"a,d,k",untested,1,"נתון מערך עם N איברים. ידוע שערך אחד מופיע בו בדיוק 2/N פעמים, ערך נוסף בדיוק 4/N פעמים, ערך נוסף 8/N פעמים וכו'. מה זמן ריצת אלגוריתם מיון (במודל ההשוואות) היעיל ביותר למערך זה (WC).
א. θ (lg (N))
ב. θ (N).
ג. θ (N lglg (N)) 
ד. θ (N lg (N)) ",na,,,,
D,FALSE,2001,b,a,7,https://docs.google.com/document/d/1oTX1kHKgw8iBufPGBn9d1Tzmll5dgOIz,TAU,na,"
The solution of the following recurrence relation:
\[ T(n) = n^{0.5} \cdot T(n^{0.5}) + 10 \]
is
\begin{enumerate}
    \item $\Theta(n)$
    \item $O(n^{1/2} \log n)$
    \item $O(n \log n)$
    \item $\Theta(n \log n)$
\end{enumerate}
",na,na,na,a,tested,1,"הפתרון של נוסחת הנסיגה הבאה:
T(n) = n^0.5*T(n^0.5) + 10
הוא
א. θ (n)
ב.  (n1/2  lg (n))
ג.  (n lg (n)) 
ד. θ (nlg(n)) ",na,,,,
D,FALSE,2001,b,a,8,https://docs.google.com/document/d/1oTX1kHKgw8iBufPGBn9d1Tzmll5dgOIz,TAU,na,na,na,na,na,a,na,1,"מי יותר גדול?
f(n) = n^(10*log(n)), g(n) = (log(n))^n


א. f(n)=O(g(n))
ב. f(n)=Ω(g(n))
ג. f(n)=Θ (g(n))
ד. f(n)=o(g(n))
ה. f(n) = ω(g(n))",na,,,,
D,FALSE,2001,b,a,9,https://docs.google.com/document/d/1oTX1kHKgw8iBufPGBn9d1Tzmll5dgOIz,TAU,na,na,na,na,na,"a,h",na,1,"נתונה ערימה (heap-max) בגודל N שבה כל הערכים שונים זה מזה. הפעולה DECREASE_KEY( P, VAL) מקבלת כקלט מצביע P לאחד מאברי הערימה וערך VAL. התוצאה המתקבלת הינה ערימה  אשר בה, יורד ערכו של האיבר אליו הצביע P. 
לדוגמא, אם P הצביע לאיבר עם ערך 12 ערכו החדש יהיה VAL-12.
בהנתן כי P מצביע לאיבר ה-K-י בגודלו בערימה (יש בדיוק 1-K איברים קטנים ממנו), באיזו יעילות ניתן לבצע 
את DECREASE_KEY( P, VAL)  ?


א. θ (lg(k))
ב. θ (lg (n))
ג. θ (lg(n/k))
ד. θ (min(k,log n))",na,,,,
D,FALSE,2001,b,a,10,https://docs.google.com/document/d/1oTX1kHKgw8iBufPGBn9d1Tzmll5dgOIz,TAU,na,"Define the distance between two nodes in a tree as the length of the shortest path between them. What is the maximum possible distance between a pair of nodes in a red-black tree with \( N \) nodes?

\begin{enumerate}
    \item[a.] \(\log_2(N) \pm \Theta(1)\)
    \item[b.] \(2\log_2(N) \pm \Theta(1)\)
    \item[c.] \(3\log_2(N) \pm \Theta(1)\)
    \item[d.] \(4\log_2(N) \pm \Theta(1)\)
\end{enumerate}",na,na,na,f,tested,1,"נגדיר מרחק בין שני צמתים בעץ כאורך המסלול הקצר ביותר ביניהם. מהו המרחק המקסימלי האפשרי בין זוג צמתים בעץ אדום שחור בעל N צמתים?

LOG2(N) ± Θ(1) 
ב.2LOG2(N) ± Θ (1)   
ג.  3LOG2(N) ± Θ (1)
ד.  4LOG2(N) ± Θ (1)",na,,,,
A,FALSE,2001,b,a,11.a,https://docs.google.com/document/d/1oTX1kHKgw8iBufPGBn9d1Tzmll5dgOIz,TAU,na,na,na,na,na,na,na,1,"נתון מערך שבו ה-OS(i) (האיבר ה-i בגודלו) נמצא באחד המקומות
i-k,i-k+1,….,i+k-1,i+k. מצאו אלגוריתם יעיל ככל הניתן למיון מערך זה.",na,,,,
A,FALSE,2001,b,a,11.b,https://docs.google.com/document/d/1oTX1kHKgw8iBufPGBn9d1Tzmll5dgOIz,TAU,na,na,na,na,na,na,na,1,"נתון מערך שבו ה-OS(i) (האיבר ה-i בגודלו) נמצא באחד המקומות
i-k,i-k+1,….,i+k-1,i+k.  מצאו חסם תחתון במודל ההשוואות לאלגוריתמי מיון שהקלט שלהם הוא הזה. הוכיחו את נכונות החסם התחתון. ",na,,,,
D,FALSE,2001,b,b,1,https://docs.google.com/document/d/1WrQhJhuDshuffTfuKpQvOh2PtYD6TLs9,TAU,na,na,na,na,na,"a,f",na,1,"בסדרה של N פעולות Insert לעץ 2-3 (ריק מלכתחילה):
יהא F(N) מספר פעולות הוספת צומת חדש (new) הכולל במקרה הגרוע ביותר.
יהא G(N) מספר פעולות המחשב הכולל במקרה הגרוע ביותר. 

מה החסם העליון ההדוק ביותר ליחס  G(n)/F(n)?
א. θ(1)
ב. θ (lg(N))
ג. θ (N)
ד. θ (Nlg(N))
ה. θ (N/lg(N))",na,,,,
D,FALSE,2001,b,b,2,https://docs.google.com/document/d/1WrQhJhuDshuffTfuKpQvOh2PtYD6TLs9,TAU,na,"\noindent
Given a minimum heap of size \( N \). We want to transform it into a red-black tree. This can be done in worst-case time of:
\begin{enumerate}
    \item \(\Theta(\log(N))\)
    \item \(\Theta(N)\)
    \item \(\Theta(N \log(N))\)
    \item \(\Theta(N \log(N) \log(N))\)
    \item None of the answers is correct (except for e).
\end{enumerate}",na,na,na,"a,f,h",untested,1,"נתונה ערמת מינימום (heap min) בגודל N. רוצים להופכה לעץ אדום שחור. ניתן לבצע זאת בזמן    worst case  של:
א. θ (lg(N))
ב. θ (N)
ג. θ ( Nlg(N))
ד.  θ ( Nlg(N)lg(N))
ה.  אף תשובה אינה נכונה (למעט ה').",na,,,,
D,FALSE,2001,b,b,3,https://docs.google.com/document/d/1WrQhJhuDshuffTfuKpQvOh2PtYD6TLs9,TAU,na,na,na,na,na,"a,h",na,1,"נתון מבנה Heap min שרירותי בגודל N. עבור K שרירןתי רוצים למצוא את האיבר ה-K הקטן ביותר  ואת האיבר ה-K הגדול ביותר  . זמן הריצה ב-worst case, של האלגוריתם הטוב ביותר למציאת שני האיברים האלו בתלות ב-K ו-N, הינו:
א. θ (lg(N))
ב. θ (N)
ג. θ ( Nlg(N))
ד. θ ( Klg(K)) 
ה. θ (MIN{N, Klg(N)})
ו. θ ( (N-K)lg(N-K))",na,,,,
D,FALSE,2001,b,b,4,https://docs.google.com/document/d/1WrQhJhuDshuffTfuKpQvOh2PtYD6TLs9,TAU,na,"
Given an array of size \( n^3 \) where each value appears exactly twice. The most efficient algorithm for sorting the array, in the comparison model, operates in the worst case at the time:

\begin{enumerate}
    \item \( \Omega(n \log(n)) \)
    \item \( \Omega(n^3 \log(n)) \)
    \item \( \Omega(n^3 \log^3(n)) \)
    \item \( \Omega((n \log(n))^3) \)
    \item None of the above
\end{enumerate}
",na,na,na,"a,d,k",tested,1,"נתון מערך בגודל n3 שבו כל ערך מופיע בדיוק פעמיים. האלגורית היעיל היותר למיון המערך, במודל ההשוואות, פועל במקרה הגרוע בזמן:
א. Ω(n lg(n))
ב. Ω(n3 lg(n))
ג. Ω(n3 lg3(n))
ד. Ω((n lg(n))3)
ה. אף אחד מהנ""ל.",na,,,,
D,FALSE,2001,b,b,5,https://docs.google.com/document/d/1WrQhJhuDshuffTfuKpQvOh2PtYD6TLs9,TAU,na,"
Implement a queue using two stacks, where each stack is implemented using a priority queue (heap). Perform a sequence of \( n \) enqueue or dequeue operations (in some order) starting from an empty data structure.
The average time per operation (in the most efficient implementation possible) is:

A. \( O(1) \) \\
B. \( O(\log n) \) \\
C. \( O(n) \) \\
D. \( O(n \log n) \) \\
E. None of the above.
",na,na,na,"a,h",tested,1,"ממשים תור בעזרת שתי מחסניות, כאשר כל מחסנית ממומשת בעזרת תור קדימויות (ערימה). מבצעים סידרה של n פעולות הכנסה או הוצאה מהתור (בסדר כלשהו) כשבהתחלה מבנה הנתונים ריק. 
הזמן הממוצע לפעולה בודדת (במימוש יעיל ככל האפשר) הוא:

א. O(1)
ב. O(lg(n))
ג. O(n)
ד. O(n lg(n))
ה. אף אחד מהנ""ל.",na,,,,
D,FALSE,2001,b,b,6,https://docs.google.com/document/d/1WrQhJhuDshuffTfuKpQvOh2PtYD6TLs9,TAU,na,na,na,na,na,a,na,1,"נתונים n קטעים [ ai, bi ].  (לכל i מתקיים ai < bi).
ידוע שלכל קטע bi הוא מספר שלם בתחום n3...1 (אבל זה לא בהכרח נכון עבור המספרים ai).
רוצים להכריע האם כל הקטעים זרים. ניתן לבצע זאת בזמן

א. O(n)
ב. O(n lg(n))
ג. O(n lg3(n))
ד. O(n3 lg 3 (n))
ה. אף אחד מהנ""ל.",na,,,,
D,FALSE,2001,b,b,7,https://docs.google.com/document/d/1WrQhJhuDshuffTfuKpQvOh2PtYD6TLs9,TAU,na,"""The comparison model +"" is like the comparison model, except that when comparing two elements \(a\) and \(b\), one can receive one of the following five answers:
\(a = b\)
\(a\) is greater than ten elements (or more) that are greater than \(b\).
\(b\) is greater than ten elements (or more) that are greater than \(a\).
\(a\) is greater than \(b\) but there are fewer than ten elements whose value is between \(a\) and \(b\).
\(b\) is greater than \(a\) but there are fewer than ten elements whose value is between \(a\) and \(b\).

A lower bound for the W.C. of a sorting algorithm in the comparison model + is:\\
a. \(\Omega(1)\)\\
b. \(\Omega(\log(n))\)\\
c. \(\Omega(n)\)\\
d. \(\Omega(n \log(n))\)\\
e. None of the above.\\",na,na,na,"a,k",tested,1,"""מודל ההשוואות +"" הוא כמו מודל ההשואות, אלא שבהשוואת זוג איברים a ו-b אפשר לקבל אחת מחמש מהתשובות הבאות:
a = b
a גדול מעשרה איברים (או יותר) שגדולים מ-b.
b גדול מעשרה איברים (או יותר) שגדולים מ-a.
a גדול מ-b אבל יש פחות מעשרה איברים שערכם בין a ל-b.
b גדול מ-a אבל יש פחות מעשרה איברים שערכם בין a ל-b.

חסם תחתון ל-W.C. של אלגוריתם מיון במודל ההשוואות + הוא:
א. Ω(1)
ב. Ω(lg(n))
ג. Ω(n)
ד. Ω(n lg(n))
ה. אף אחד מהנ""ל.",na,,,,
D,FALSE,2001,b,b,8,https://docs.google.com/document/d/1WrQhJhuDshuffTfuKpQvOh2PtYD6TLs9,TAU,na,"
Insert \(2n\) elements into a hash table with \(3n\) cells. Each cell can hold a single element. In case of a collision (mapping an element to an occupied cell), the new element is inserted into a common linked list for all elements. The expected time of an unsuccessful search in the structure (i.e., searching for a value \(x\) that does not exist in the structure) is:

A. \(O(1)\) \\
B. \(O(n)\) \\
C. \(O(\log(n))\) \\
D. None of the above.

",na,na,na,"a,d,g",untested,1,"מכניסים 2n איברים לטבלת hash עם 3n תאים. בכל תא מקום לאיבר בודד. במקרה של התנגשות (מיפוי איבר לתא תפוס) מכניסים את האיבר החדש לרשימה מקושרת משותפת לכל האיברים.
תוחלת זמן חיפוש כושל במבנה (כלומר חיפוש ערך x שלא קיים במבנה) היא:

א. O(1)
ב. O(n)
ג. O(lg(n))
ד. אף אחד מהנ""ל.",na,,,,
D,TRUE,2002,a,a,2,https://docs.google.com/document/d/1UoJdnerEFxl6OfCgPoKIRk-N_cj2xNo1,TAU,6,"\noindent Consider a red-black tree as studied in class and described in Cormen (all Nils are considered leaves and their color is black). Let the height of a node \( y \) be defined as the length of the longest path (counted in nodes) upwards to \( y \). The count does not include \( y \) and the discussed nil. Let \( x \) be a node that is removed (note: the intention is the node removed and not the value removed) in the delete operation (as studied in class in a binary search tree). We are interested in the height of \( x \) before the removal. Then:
\begin{enumerate}
    \item The tightest upper bound on the height of \( x \) is 0.
    \item The tightest upper bound on the height of \( x \) is 1.
    \item The tightest upper bound on the height of \( x \) is 2.
    \item The tightest upper bound on the height of \( x \) is 3.
    \item There is no upper bound on the height of \( x \).
\end{enumerate}",2,na,5,p,tested,1,"התייחסו לעץ אדום שחור כפי שנלמד בכיתה ומתואר ב-Cormen (כל ה-Nils נחשבים כעלים וצבעם הוא שחור). יהי הגובה של צומת y  מוגדר כאורך המסלול (נספר בצמתים) הארוך ביותר מעלה ל-y. הספירה לא כוללת את y ואת ה-nil הנידון. יהי x  צומת שמושמט (שימו לב: הכוונה לצומת המושמט ולא לערך המושמט) בפעולת ה-delete  (כמו שנלמד בכיתה בעץ חיפוש בינארי). הננו מעוניינים בגובהו של x לפני ההשמטה. אזי:
1. החסם העליון ההדוק ביותר על גובהו של x  הינו 0 .
2. החסם העליון ההדוק ביותר על גובהו של x  הינו 1 .
3. החסם העליון ההדוק ביותר על גובהו של x  הינו 2.
4. החסם העליון ההדוק ביותר על גובהו של x  הינו 3.
5. אין חסם עליון על גובהו של x  .",na,,,,
D,TRUE,2002,a,a,3,https://docs.google.com/document/d/1UoJdnerEFxl6OfCgPoKIRk-N_cj2xNo1,TAU,3,"\noindent A family of functions \( H = \{h \mid h : M \to \{1, 2, \ldots, n\}\} \) is called universal if for all different \( x, y \) in \( M \), the number of functions \( h \) in \( H \) for which \( h(x) = h(y) \) is the size of \( H \) divided by \( n \).

A family of functions \( H = \{h \mid h : M \to \{1, 2, \ldots, n\}\} \) is called 2-universal if for all different \( x, y \) in \( M \), the pair \( (h(x), h(y)) \) is uniformly distributed over the set \(\{(i, j) \mid 1 \leq i, j \leq n\}\).

Is it true that every 2-universal family is universal?

1. Yes

2. No

",1,na,2,g,tested,1,"משפחת פונקציות{{ H = {h|h:M -> {1,2,..,n נקראת אוניברסלית אם לכל x, y שונים ב-M, מספר הפונקציות h ב- H עבורם (h(x שווה ל h(y)a היא כגודלה של H חלקי n.

משפחת פונקציות {{ H = {h|h:M -> {1,2,..,n נקראת 2-אוניברסלית אם לכל x, y שונים ב-M, הזוג    <(h(x),h(y> מתפלג אחיד מהקבוצה {<i, j>| 1 <= i, j <= n}. 

האם נכון שכל משפחה 2-אוניברסלית היא אוניברסלית?

1. כן
2. לא",na,,,,
