question_type,has_solution,exam_year,semester,moed,question_number,url,data_resource,points,question_translation_latex,multiple_choice_answer,answer_translation_latex,number_of_possible_answers,topics_covered,dataset,translated_separately,question_in_hebrew,answer_in_hebrew,orig_answer_in_eng,should_translate,question_id,comments,is_relevant
D,FALSE,2001,b,a,3,https://docs.google.com/document/d/1oTX1kHKgw8iBufPGBn9d1Tzmll5dgOIz,TAU,na,"To translate the given Hebrew text into English and present it in LaTeX format, we can write:

```latex
An array with \( n \) elements is called ""excessive"" if it contains three values, each of which appears at least \( n \times (1 - \frac{1}{\log(n)}) \times 3 \) times, and the remaining values appear at most twice each. What is the lower bound on the worst case of a sorting algorithm for an ""excessive"" array?

\begin{enumerate}
    \item \(\Theta(n)\)
    \item \(\Theta(n \log \log(n))\)
    \item \(\Theta(n \log(n))\)
    \item \(\Theta\left(\frac{n \log \log(n)}{\log(n)}\right)\)
\end{enumerate}
```

This translation expresses the original text in a mathematical and technical format suitable for use in a document that uses LaTeX for typesetting.",na,na,na,"a,d,k",na,1," מערך בעל n איברים יקרא ""מוגזם"" אם יש בו שלושה ערכים שכל אחד מהם מופיע לפחות n*(1-1/log(n))*3 פעמים, ושאר הערכים מופיעים לכל היותר פעמיים כל אחד. מהו החסם התחתון של ה-Worst Case של אלגוריתם מיון של מערך ""מוגזם""?
א. θ (n)
ב. θ (n lg  lg (n)) 
ג. θ (n lg (n))
ד. θ(nloglog(n)/log(n))",na,,,,,
D,FALSE,2001,b,a,4,https://docs.google.com/document/d/1oTX1kHKgw8iBufPGBn9d1Tzmll5dgOIz,TAU,na,"```latex
Given two max-heaps of size \( N \). We want to merge them into one valid heap. This can be done in time:
a. \( \theta(\log(N)) \) \\
b. \( \theta(N) \) \\
c. \( \theta(N \log(N)) \) \\
d. None of the answers are correct (except d).
```",na,na,na,"a,h",na,1,"נתונות שתי ערמות מקסימום (heap max) בגודל N. רוצים לאחד אותן לערימה חוקית אחת. ניתן לבצע זאת בזמן:
א. θ (lg(N))
ב. θ (N)
ג. θ ( Nlg(N))
ד. אף תשובה אינה נכונה (למעט ד').",na,,,,,
D,FALSE,2001,b,a,5,https://docs.google.com/document/d/1oTX1kHKgw8iBufPGBn9d1Tzmll5dgOIz,TAU,na,"
Given a hash table (with a hash function randomly chosen from a universal set). In this table, collisions are resolved as follows: 
each element mapped to a non-empty cell is stored in a red-black tree shared by the entire table. 
Search is performed by checking the appropriate cell (using the hash function), 
and if the cell is not empty and the desired element is not found there, search is done in the tree. 
Let \( B \) be the size of the table, \( N \) the number of elements, and \( \alpha = \frac{N}{B} \). 
The expected unsuccessful search time is:
\begin{enumerate}
    \item \( \Theta(1 + \alpha) \) on average if \( B = \Theta(N) \).
    \item \( \Theta(1) \) on average if \( N^2 = B \); 
    \( \Theta(\log N) \) on average if \( 10 \cdot N = B \).
    \item \( \Theta(1) \) in the worst case if \( N^2 = B \) 
    (the worst case is on all sequences of \( N \) elements and function choices); 
    \( \Theta(\log N) \) in the worst case if \( 10 \cdot N = B \).
    \item \( \theta\left(\frac{\log(N-B)}{B}\right) \) on average.
\end{enumerate}
",na,na,na,"a,f,g",tested,1,"נתונה טבלת Hash (עם פונקצית Hash שנבחרת באופן אקראי מקבוצה אוניברסלית). בטבלה זו התנגשויות נפתרות באופן הבא:
כל איבר שממופה לתא שאינו ריק, נשמר בעץ אדום שחור משותף לכל הטבלה. חיפוש מתבצע על ידי בדיקת  התא המתאים (באמצעות פונקצית ה-Hash), ואם התא אינו ריק, והאיבר הרצוי אינו נמצא שם – מחפשים בעץ.
יהא B גודל הטבלה, N – מספר האיברים ו- α=N/B. 
זמן חיפוש כושל הוא:
א.   Θ(1+α) בתוחלת אם  B=Θ (N). 
ב.   Θ(1) בתוחלת אם N2=B; Θ(log N) בתוחלת אם 10⋅N=B.
ג.   Θ(1) ב-worst case  אם N2=B ( ה-worst case  הוא על כל הסדרות
      של N איברים ובחירות הפונקציות); Θ(log N) ב-worst case אם
      10⋅N=B.

ד. θ(log(N-B)/B) בתוחלת. ",na,,,,,
D,FALSE,2001,b,a,6,https://docs.google.com/document/d/1oTX1kHKgw8iBufPGBn9d1Tzmll5dgOIz,TAU,na,"\noindent Given an array with \( N \) elements. It is known that one value appears exactly \( \frac{2}{N} \) times, another value exactly \( \frac{4}{N} \) times, another value \( \frac{8}{N} \) times, etc. What is the runtime of the most efficient sorting algorithm (in the comparison model) for this array (WC)?\\
A. \( \Theta (\log (N)) \)\\
B. \( \Theta (N) \)\\
C. \( \Theta (N \log\log (N)) \)\\
D. \( \Theta (N \log (N)) \)",na,na,na,"a,d,k",untested,1,"נתון מערך עם N איברים. ידוע שערך אחד מופיע בו בדיוק 2/N פעמים, ערך נוסף בדיוק 4/N פעמים, ערך נוסף 8/N פעמים וכו'. מה זמן ריצת אלגוריתם מיון (במודל ההשוואות) היעיל ביותר למערך זה (WC).
א. θ (lg (N))
ב. θ (N).
ג. θ (N lglg (N)) 
ד. θ (N lg (N)) ",na,,,,,
D,FALSE,2001,b,a,7,https://docs.google.com/document/d/1oTX1kHKgw8iBufPGBn9d1Tzmll5dgOIz,TAU,na,"
The solution of the following recurrence relation:
\[ T(n) = n^{0.5} \cdot T(n^{0.5}) + 10 \]
is
\begin{enumerate}
    \item $\Theta(n)$
    \item $O(n^{1/2} \log n)$
    \item $O(n \log n)$
    \item $\Theta(n \log n)$
\end{enumerate}
",na,na,na,a,tested,1,"הפתרון של נוסחת הנסיגה הבאה:
T(n) = n^0.5*T(n^0.5) + 10
הוא
א. θ (n)
ב.  (n1/2  lg (n))
ג.  (n lg (n)) 
ד. θ (nlg(n)) ",na,,,,,
D,FALSE,2001,b,a,8,https://docs.google.com/document/d/1oTX1kHKgw8iBufPGBn9d1Tzmll5dgOIz,TAU,na,"To translate the given text to English in LaTeX format, we have:

```latex
Who is greater?

\( f(n) = n^{10 \cdot \log(n)} \), \( g(n) = (\log(n))^n \)

\begin{enumerate}
    \item[a.] \( f(n) = O(g(n)) \)
    \item[b.] \( f(n) = \Omega(g(n)) \)
    \item[c.] \( f(n) = \Theta(g(n)) \)
    \item[d.] \( f(n) = o(g(n)) \)
    \item[e.] \( f(n) = \omega(g(n)) \)
\end{enumerate}
```

This formatting ensures that the mathematical expressions and Big O notation symbols are properly presented in LaTeX.",na,na,na,a,na,1,"מי יותר גדול?
f(n) = n^(10*log(n)), g(n) = (log(n))^n


א. f(n)=O(g(n))
ב. f(n)=Ω(g(n))
ג. f(n)=Θ (g(n))
ד. f(n)=o(g(n))
ה. f(n) = ω(g(n))",na,,,,,
D,FALSE,2001,b,a,9,https://docs.google.com/document/d/1oTX1kHKgw8iBufPGBn9d1Tzmll5dgOIz,TAU,na,"Here is the translation of the given Hebrew text to English in LaTeX format:

```latex
A heap-max of size \( N \) is given, in which all values are distinct. The operation \texttt{DECREASE\_KEY}(P, VAL) takes as input a pointer \( P \) to one of the elements of the heap and a value \( VAL \). The resulting outcome is a heap in which the value of the element pointed to by \( P \) is decreased. 

For example, if \( P \) points to an element with value 12, its new value will be \( 12 - \text{VAL} \). Given that \( P \) points to the \( K \)-th largest element in the heap (there are exactly \( K - 1 \) elements smaller than it), with what efficiency can \texttt{DECREASE\_KEY}(P, VAL) be performed?

\begin{enumerate}
    \item \(\Theta(\log(k))\)
    \item \(\Theta(\log(n))\)
    \item \(\Theta(\log(n/k))\)
    \item \(\Theta(\min(k, \log n))\)
\end{enumerate}
```",na,na,na,"a,h",na,1,"נתונה ערימה (heap-max) בגודל N שבה כל הערכים שונים זה מזה. הפעולה DECREASE_KEY( P, VAL) מקבלת כקלט מצביע P לאחד מאברי הערימה וערך VAL. התוצאה המתקבלת הינה ערימה  אשר בה, יורד ערכו של האיבר אליו הצביע P. 
לדוגמא, אם P הצביע לאיבר עם ערך 12 ערכו החדש יהיה VAL-12.
בהנתן כי P מצביע לאיבר ה-K-י בגודלו בערימה (יש בדיוק 1-K איברים קטנים ממנו), באיזו יעילות ניתן לבצע 
את DECREASE_KEY( P, VAL)  ?


א. θ (lg(k))
ב. θ (lg (n))
ג. θ (lg(n/k))
ד. θ (min(k,log n))",na,,,,,
D,FALSE,2001,b,a,10,https://docs.google.com/document/d/1oTX1kHKgw8iBufPGBn9d1Tzmll5dgOIz,TAU,na,"Define the distance between two nodes in a tree as the length of the shortest path between them. What is the maximum possible distance between a pair of nodes in a red-black tree with \( N \) nodes?

\begin{enumerate}
    \item[a.] \(\log_2(N) \pm \Theta(1)\)
    \item[b.] \(2\log_2(N) \pm \Theta(1)\)
    \item[c.] \(3\log_2(N) \pm \Theta(1)\)
    \item[d.] \(4\log_2(N) \pm \Theta(1)\)
\end{enumerate}",na,na,na,f,tested,1,"נגדיר מרחק בין שני צמתים בעץ כאורך המסלול הקצר ביותר ביניהם. מהו המרחק המקסימלי האפשרי בין זוג צמתים בעץ אדום שחור בעל N צמתים?

LOG2(N) ± Θ(1) 
ב.2LOG2(N) ± Θ (1)   
ג.  3LOG2(N) ± Θ (1)
ד.  4LOG2(N) ± Θ (1)",na,,,,,
A,FALSE,2001,b,a,11.a,https://docs.google.com/document/d/1oTX1kHKgw8iBufPGBn9d1Tzmll5dgOIz,TAU,na,"To translate the given text to English in LaTeX format, here is the translation:

```latex
Given an array in which the OS(i) (the i-th largest element) is located in one of the positions
i-k, i-k+1, \ldots, i+k-1, i+k. Find an efficient algorithm to sort this array.
```

Make sure to include this in a `document` environment if you are compiling it using LaTeX.",na,na,na,na,na,1,"נתון מערך שבו ה-OS(i) (האיבר ה-i בגודלו) נמצא באחד המקומות
i-k,i-k+1,….,i+k-1,i+k. מצאו אלגוריתם יעיל ככל הניתן למיון מערך זה.",na,,,,,FALSE
A,FALSE,2001,b,a,11.b,https://docs.google.com/document/d/1oTX1kHKgw8iBufPGBn9d1Tzmll5dgOIz,TAU,na,"To translate the given Hebrew text into English in LaTeX format:

```latex
Given an array where the OS(i) (the i-th largest element) is located at one of the positions i-k, i-k+1, ..., i+k-1, i+k. Find a lower bound in the comparison model for sorting algorithms whose input is this. Prove the correctness of the lower bound.
```",na,na,na,na,na,1,"נתון מערך שבו ה-OS(i) (האיבר ה-i בגודלו) נמצא באחד המקומות
i-k,i-k+1,….,i+k-1,i+k.  מצאו חסם תחתון במודל ההשוואות לאלגוריתמי מיון שהקלט שלהם הוא הזה. הוכיחו את נכונות החסם התחתון. ",na,,,,,FALSE
D,FALSE,2001,b,b,1,https://docs.google.com/document/d/1WrQhJhuDshuffTfuKpQvOh2PtYD6TLs9,TAU,na,"To translate the given text into English and format it using LaTeX, you'd have:

```latex
In a series of \( N \) insert operations into a 2-3 tree (initially empty):

Let \( F(N) \) be the number of new node insert operations in the worst case.
Let \( G(N) \) be the total number of computer operations in the worst case.

What is the tightest upper bound for the ratio \( \frac{G(N)}{F(N)} \)?
a. \(\theta(1)\)
b. \(\theta(\log(N))\)
c. \(\theta(N)\)
d. \(\theta(N \log(N))\)
e. \(\theta\left(\frac{N}{\log(N)}\right)\)
```

Ensure your LaTeX document includes the necessary preamble to use mathematical symbols and formatting, such as the `amsmath` package for improved math formatting.",na,na,na,"a,f",na,1,"בסדרה של N פעולות Insert לעץ 2-3 (ריק מלכתחילה):
יהא F(N) מספר פעולות הוספת צומת חדש (new) הכולל במקרה הגרוע ביותר.
יהא G(N) מספר פעולות המחשב הכולל במקרה הגרוע ביותר. 

מה החסם העליון ההדוק ביותר ליחס  G(n)/F(n)?
א. θ(1)
ב. θ (lg(N))
ג. θ (N)
ד. θ (Nlg(N))
ה. θ (N/lg(N))",na,,,,,
D,FALSE,2001,b,b,2,https://docs.google.com/document/d/1WrQhJhuDshuffTfuKpQvOh2PtYD6TLs9,TAU,na,"\noindent
Given a minimum heap of size \( N \). We want to transform it into a red-black tree. This can be done in worst-case time of:
\begin{enumerate}
    \item \(\Theta(\log(N))\)
    \item \(\Theta(N)\)
    \item \(\Theta(N \log(N))\)
    \item \(\Theta(N \log(N) \log(N))\)
    \item None of the answers is correct (except for e).
\end{enumerate}",na,na,na,"a,f,h",untested,1,"נתונה ערמת מינימום (heap min) בגודל N. רוצים להופכה לעץ אדום שחור. ניתן לבצע זאת בזמן    worst case  של:
א. θ (lg(N))
ב. θ (N)
ג. θ ( Nlg(N))
ד.  θ ( Nlg(N)lg(N))
ה.  אף תשובה אינה נכונה (למעט ה').",na,,,,,
D,FALSE,2001,b,b,3,https://docs.google.com/document/d/1WrQhJhuDshuffTfuKpQvOh2PtYD6TLs9,TAU,na,"To translate the given Hebrew text to English in LaTeX format, you can use the following code:

```latex
\documentclass{article}
\usepackage[UTF8]{inputenc}

\begin{document}

Given an arbitrary Min-Heap structure of size $N$. For an arbitrary $K$, we want to find the $K^{th}$ smallest element and the $K^{th}$ largest element. The worst-case running time of the best algorithm for finding these two elements, depending on $K$ and $N$, is:

\begin{enumerate}
    \item $\Theta(\log(N))$
    \item $\Theta(N)$
    \item $\Theta(N \log(N))$
    \item $\Theta(K \log(K))$
    \item $\Theta(\min\{N, K \log(N)\})$
    \item $\Theta((N-K) \log(N-K))$
\end{enumerate}

\end{document}
```

This code provides the translation of the Hebrew text into English and formats it in LaTeX using appropriate mathematical notation.",na,na,na,"a,h",na,1,"נתון מבנה Heap min שרירותי בגודל N. עבור K שרירןתי רוצים למצוא את האיבר ה-K הקטן ביותר  ואת האיבר ה-K הגדול ביותר  . זמן הריצה ב-worst case, של האלגוריתם הטוב ביותר למציאת שני האיברים האלו בתלות ב-K ו-N, הינו:
א. θ (lg(N))
ב. θ (N)
ג. θ ( Nlg(N))
ד. θ ( Klg(K)) 
ה. θ (MIN{N, Klg(N)})
ו. θ ( (N-K)lg(N-K))",na,,,,,
D,FALSE,2001,b,b,4,https://docs.google.com/document/d/1WrQhJhuDshuffTfuKpQvOh2PtYD6TLs9,TAU,na,"
Given an array of size \( n^3 \) where each value appears exactly twice. The most efficient algorithm for sorting the array, in the comparison model, operates in the worst case at the time:

\begin{enumerate}
    \item \( \Omega(n \log(n)) \)
    \item \( \Omega(n^3 \log(n)) \)
    \item \( \Omega(n^3 \log^3(n)) \)
    \item \( \Omega((n \log(n))^3) \)
    \item None of the above
\end{enumerate}
",na,na,na,"a,d,k",tested,1,"נתון מערך בגודל n3 שבו כל ערך מופיע בדיוק פעמיים. האלגורית היעיל היותר למיון המערך, במודל ההשוואות, פועל במקרה הגרוע בזמן:
א. Ω(n lg(n))
ב. Ω(n3 lg(n))
ג. Ω(n3 lg3(n))
ד. Ω((n lg(n))3)
ה. אף אחד מהנ""ל.",na,,,,,
