,question_type,has_solution,exam_year,semester,moed,question_number,url,data_resource,points,question_translation_latex,multiple_choice_answer,answer_translation_latex,number_of_possible_answers,topics_covered,dataset,translated_separately,should_translate,question_id,comments,is_relevant,chat_answer_new
527,A,TRUE,2017,b,b,2-d,T3/ds17BB sol 85(vaad).pdf,TAU,7,"```latex
In this problem, we are given a data structure \( S \) that maintains two sets of numbers \( A, B \), and we consider data structures that support some or all of the following operations:
- \texttt{Init} – initializes \( A, B \) to be empty sets.
- \texttt{InsertA(x)} – adds the number \( x \) to \( A \).
- \texttt{DeleteA(x)} – deletes the number \( x \) from \( A \) (it can be assumed that \( x \) is in \( A \) before the operation; a pointer to \( x \) is provided in the input).
- \texttt{InsertB(x)} – adds the number \( x \) to \( B \).
- \texttt{DeleteB(x)} – deletes the number \( x \) from \( B \) (it can be assumed that \( x \) is in \( B \) before the operation; a pointer to \( x \) is provided in the input).
- \texttt{ClosestPair} – returns a number \( x \) from \( A \) and a number \( y \) from \( B \) such that the absolute distance \(|x-y|\) is minimal (if there is more than one such pair, any minimal pair can be returned).

In all sections, \( n \) is defined to be \( n=|A|+|B| \) (the sum of the sizes of the sets) at this moment.

4. We modify \texttt{Init} in this section only as follows: \texttt{Init(Array)} – initializes \( A \) to be an empty set, and initializes \( B \) to be the set of numbers in the array \texttt{Array}. Describe a randomized data structure that supports only the operations \texttt{InsertA}, \texttt{DeleteA}, and \texttt{ClosestPair} (set \( B \) does not change during the execution of the algorithm). The operations \texttt{InsertA} and \texttt{DeleteA} should each take \( O(\log n) \) in the worst case, and \texttt{ClosestPair} should take \( O(1) \) in the worst case, where \( k \) is the size of the array used to initialize \( B \).
```",na,"We will have AVL tree for A, AVL tree for B, min-stack for close elements. Init: Build tree B and empty tree for A, empty stack - Complextiy O(klogk). Insert: We will add the element x to A tree, we will find the closest y from tree B to the element entered and add to the stack |x-y|. We will hold a pointer from the element entered to A tree to the corresponding element in the stack (|x-y|) - Insert complexity is O(logn). Delete: We will remove the element from A tree and from the stack using the pointer from the corresponding element is A - complexity of delete is O(logk). ClosestPair: We will return the key from the stack (x,y) - Complexity of ClosestPair is O(1).",,na,tested,,,,hand-written answer exists,TRUE,"We can use a randomized balanced binary search tree (such as a randomized treap) to achieve the required time complexity for the operations. Since set \( B \) does not change during the execution of the algorithm, we can initialize the balanced binary search tree with the elements of the array \texttt{Array}. Each node in the treap will have two additional fields: \texttt{minDist} which stores the minimum absolute distance from any element in set \( A \), and \texttt{closestPair} which stores the closest pair of elements (one from \( A \) and one from that node) corresponding to the minimum absolute distance.

The implementation of the operations is as follows:

1. \texttt{InsertA(x)}: Add the element \( x \) to the treap. While performing the insertion, update the \texttt{minDist} and \texttt{closestPair} values of each node accordingly. This can be done in \( O(\log n) \) time complexity in the worst case due to the balanced binary search tree properties.

2. \texttt{DeleteA(x)}: Delete the element \( x \) from the treap. Update the \texttt{minDist} and \texttt{closestPair} values of affected nodes. This can also be done in \( O(\log n) \) time complexity in the worst case.

3. \texttt{ClosestPair}: Since the closest pair is already stored in the root node of the treap, returning it takes constant time \( O(1) \).

Therefore, the required time complexities are achieved using this randomized data structure."
555,A,TRUE,2016,a,a,2-a,T3/ds16AA-sol.pdf,TAU,na,"```latex
Given $n$ pairs of keys $(a_1, b_1), (a_2, b_2), \ldots, (a_n, b_n)$, such that each key $a_i$ and each key $b_j$ (for $1 \leq i, j \leq n$) are integers in the range $[1, 10n]$. Describe a data structure that can be built in $O(n)$ worst-case time (given the $n$ pairs of keys) and supports the following operation in $O(1)$ worst-case time:

\texttt{SearchAll}(a) – Return a list of all pairs of keys in which $a$ is the left key.
```",na,"```latex
Initialize a table with 10n cells, so that the i-th cell contains a list of all pairs of keys where i is the left key.
```",na,na,tested,,,,total points: 20.00 ,TRUE,"To achieve this, we can create a data structure called a hash table where the keys are the integers in the range $[1, 10n]$ and the values are lists of pairs. Each pair would be inserted into the list corresponding to its left key in the hash table.

The steps to build this data structure in $O(n)$ time are as follows:
1. Initialize an empty hash table.
2. For each pair $(a_i, b_i)$, check if $a_i$ is already a key in the hash table:
   - If $a_i$ is a key, append the pair $(a_i, b_i)$ to the list of pairs associated with the key $a_i$ in the hash table.
   - If $a_i$ is not a key, add a new key $a_i$ to the hash table with a list containing the pair $(a_i, b_i)$.
3. Repeat step 2 for all pairs in the input.

After building the data structure, the \texttt{SearchAll}(a) operation can be supported in $O(1)$ worst-case time by simply returning the list of pairs associated with the key $a$ in the hash table (or an empty list if $a$ is not a key in the hash table).

The latex representation of the solution is as follows:

\[
\text{Given } n \text{ pairs of keys } (a_1, b_1), (a_2, b_2), \ldots, (a_n, b_n) \text{, such that each key } a_i \text{ and each key } b_j \text{ (for } 1 \leq i, j \leq n \text{) are integers in the range } [1, 10n] \text{. Describe a data structure that can be built in } O(n) \text{ worst-case time (given the } n \text{ pairs of keys) and supports the following operation in } O(1) \text{ worst-case time:}
\]

\[
\text{\texttt{SearchAll}(a) – Return a list of all pairs of keys in which } a \text{ is the left key.}
\]"
556,A,TRUE,2016,a,a,2-b,T3/ds16AA-sol.pdf,TAU,na,"```latex


```latex
Given $n$ pairs of keys $(a_1, b_1), (a_2, b_2), \ldots, (a_n, b_n)$, such that each key $a_i$ and each key $b_j$ (for $1 \leq i, j \leq n$) are integers in the range $[1, 10n]$. Describe a data structure that can be built in $O(n)$ worst-case time (given the $n$ pairs of keys) and supports the following operation in $O(1)$ worst-case time:

\texttt{SearchAll}(a) – Return a list of all pairs of keys in which $a$ is the left key.
``` this time it is given that all keys are integers and from the range \([1, n^3]\). Describe a data structure that can be built in worst-case time \(O(n)\) (given \(n\) pairs of keys) and supports the operation SearchAll in worst-case time \(O(\log(n))\).
```",na,"```latex
Let's sort all pairs using radix sort according to the left key. 
Initialize an array of size \( n \) such that the \( i \)-th cell in the array holds a list of all pairs for which the left key is the \( i \)-th largest among the left keys.
```",na,na,tested,,,,total points: 20.00 ,TRUE,"To achieve an \(O(\log(n))\) worst-case time complexity for the \texttt{SearchAll} operation, we can use a specialized binary search tree called a Range Tree. 

A Range Tree is a balanced binary search tree where each node stores an integer value and has two children, a left child representing values less than the node's value and a right child representing values greater than the node's value. Additionally, each node also stores a sorted list of all pairs in which the node's value appears as the left key. 

To build this Range Tree in \(O(n)\) worst-case time given \(n\) pairs of keys, we can perform the following steps:

1. Sort the \(n\) pairs of keys based on their left key values in \(O(n\log(n))\) time.
2. Build the Range Tree by recursively partitioning the sorted pairs into two halves and constructing the tree using the median left key value at each step. This process takes \(O(n)\) time overall.
3. For each node in the Range Tree, store a sorted list of all pairs where the node's value appears as the left key. This will take \(O(n)\) time overall.

With the Range Tree constructed, the \texttt{SearchAll} operation can be performed in \(O(\log(n))\) worst-case time by traversing the tree and searching for the desired integer value \(a\) at each level. Once the node with value \(a\) is found, the sorted list of pairs associated with that node can be returned.

Therefore, by using a Range Tree data structure, we can achieve the desired worst-case time complexities for building the structure and performing the \texttt{SearchAll} operation."
571,A,TRUE,2016,a,b,2-b,T3/ds16AB-sol.pdf,TAU,na,"```latex
\documentclass{article}
\usepackage[utf8]{inputenc}

\begin{document}

Describe a data structure that supports the following operations (where $n$ is the number of keys currently in the data structure, and it can be assumed that all keys are distinct):
\begin{itemize}
    \item \textbf{Insert(a)} – Insert the key $a$ into the data structure. The operation should be performed in $O(\log n)$ time.
    \item \textbf{Delete(a)} – Delete the key $a$. The operation should be performed in $O(\log n)$ time.
    \item \textbf{Search(a)} – Return the key $a$ if it exists, otherwise return \texttt{null}. The operation should be performed in $O(\log n)$ time.
    \item \textbf{Sum(a)} – Return the sum of all keys that are smaller than $a$. It can be assumed that $a$ exists in the data structure. The operation should be performed in $O(\log n)$ time.
\end{itemize}

\end{document}
```",na,"```latex
We will implement using a red-black tree where each node keeps the sum of the keys of the subtree of which it is the root. The Sum operation will be performed by descending from the root to node \(a\) and summing the sum fields of all left children of the nodes along the path together with the sum field of \(a\).
```",na,na,tested,,,,total points: 20.00 ,TRUE,"```latex
\documentclass{article}
\usepackage[utf8]{inputenc}

\begin{document}

Describe a data structure that supports the following operations (where $n$ is the number of keys currently in the data structure, and it can be assumed that all keys are distinct):
\begin{itemize}
    \item \textbf{Insert(a)} – Insert the key $a$ into the data structure. The operation should be performed in $O(\log n)$ time.
    \item \textbf{Delete(a)} – Delete the key $a$. The operation should be performed in $O(\log n)$ time.
    \item \textbf{Search(a)} – Return the key $a$ if it exists, otherwise return \texttt{null}. The operation should be performed in $O(\log n)$ time.
    \item \textbf{Sum(a)} – Return the sum of all keys that are smaller than $a$. It can be assumed that $a$ exists in the data structure. The operation should be performed in $O(\log n)$ time.
\end{itemize}

\end{document}
```"
587,A,TRUE,2016,b,a,2,T3/ds16BA-sol.pdf,TAU,15,"```latex
Implement a data structure of type dictionary that supports the following operations:
\begin{itemize}
    \item \texttt{Insert(k, e)} – Insert a new element \( e \) with the key \( k \) (you can assume that there is no other element with this key in the structure).
    \item \texttt{Search(k)} \(\leftarrow e\) – Find the element in the structure with the key \( k \), if such an element exists (otherwise returns \texttt{null}).
    \item \texttt{DeleteBetween(a, b)} – Delete all the elements in the structure whose key \( k \) is in the range \( a \leq k < b \).
\end{itemize}
Each operation should run in \( O(\log n) \) time.
```",na,"```latex
We will use a red-black tree that supports the operations Insert, Search, Split, and Join in O(log n) time for each.

Implementation of DeleteBetween:
1. Perform a split: \( T<a, T\geq a \leftarrow \text{Split}(T, a) \) where \( T<a \) is a red-black tree containing elements smaller than \( a \), and \( T\geq a \) is a red-black tree containing elements equal to or greater than \( a \).
2. Now perform another split: \( T[a,b], T\geq b \leftarrow \text{Split}(T\geq a, b) \) where \( T[a,b] \) is a red-black tree containing elements smaller than \( b \) and greater or equal to \( a \), and \( T\geq b \) is a red-black tree containing elements equal to or greater than \( b \).
3. Finally, perform a join: \( T \leftarrow \text{Join}(T<a, T\geq b) \) and return the tree containing all elements except those between \( a \) and \( b \).

This involves a fixed number of red-black tree operations, each taking \( O(\log n) \) time.
```",na,na,tested,,,,,TRUE,"To implement a dictionary data structure that supports the mentioned operations in \( O(\log n) \) time, we can use a balanced binary search tree. We can use a self-balancing binary search tree such as AVL tree, Red-Black tree, or Splay tree to achieve this time complexity.

Here is how we can implement the dictionary data structure using a balanced binary search tree:

1. \textbf{Insert(k, e)}:
To insert a new element \( e \) with key \( k \) in the dictionary, we can simply perform a standard insert operation in the balanced binary search tree. This operation takes \( O(\log n) \) time.

2. \textbf{Search(k)}:
To search for an element with key \( k \) in the dictionary, we can perform a standard search operation in the balanced binary search tree. If the element with key \( k \) exists, we can return it; otherwise, we return \texttt{null}. This operation also takes \( O(\log n) \) time.

3. \textbf{DeleteBetween(a, b)}:
To delete all elements in the dictionary whose keys fall in the range \( a \leq k < b \), we can perform the following steps:
- Find the node with key \( a \) in the binary search tree (if it exists).
- Delete all nodes in the binary search tree whose keys fall within the range \( a \leq k < b \) by performing a series of delete operations.
- Rebalance the binary search tree after deletion operations to maintain the balanced property.
This operation also runs in \( O(\log n) \) time.

The overall complexity of each operation is \( O(\log n) \) in a balanced binary search tree, fulfilling the requirements of the given problem."
588,A,TRUE,2016,b,a,3-a,T3/ds16BA-sol.pdf,TAU,15, ,na,"```latex
Let's note that there is no need to keep all \( n \) bids, only the highest bid for each product. We will store in a Fibonacci max-heap \( H \) the highest bid for product \( j \) (key = price \( p \), value = product number \( j \)). Additionally, we will maintain an array of \( m \) pointers into \( H \) (where \( j \) points to the bid for product \( j \)).

\textbf{Init:} We construct an empty heap \( H \), insert into it a bid with zero price for each of the products and store the pointers in the array.

\textbf{Bid:} If \( p \) is greater than the current bid for product \( j \) (which we find in constant time using the pointer), we perform an \texttt{Increase-Key} in \( H \) for this product, otherwise we ignore it (assuming the product has not yet been sold). In a Fibonacci heap, this is \( O(1) \) amortized.

\textbf{Sell:} We perform \texttt{Delete-Max} on \( H \) and return the product \( j \) and its price \( p \). There are at most \( m \) bids in \( H \) and therefore this costs \( O(\log m) \) amortized.
```",na,na,tested,,,,,TRUE,Find the derivative of the function \[ f(x) = 3x^4 + 2x^3 - 5x^2 + 2 \]
589,A,TRUE,2016,b,a,3-b,T3/ds16BA-sol.pdf,TAU,15,"```latex
\textbf{b.} Given are 𝑚 different types of products (numbered from 1 to 𝑚), with an unlimited quantity of each type. The auction is open for 𝑚 days, during which 𝑛 people place bids to purchase (each bid is for one unit of a product). At the end of each day, a pair of products of different types will be sold on which the highest bids were placed.

You are requested to implement a data structure for the auction that supports the following commands:
\begin{itemize}
    \item \textbf{Init(m)} – Initialize the structure with 𝑚 types of products and no bids.
    \item \textbf{Bid(j, p)} – Add a bid with price 𝑝 for a product of type 𝑗. The command should run in amortized time 𝑂(1).
    \item \textbf{Sell() $\leftarrow$ j1, p1, j2, p2} – Sell one unit of product from each of the two types that received the highest bid. (It can be assumed that there are at least two bids in the auction). The command returns the types of products 𝑗1, 𝑗2 that were sold and the prices 𝑝1, 𝑝2 that were paid for them, respectively. The command should run in amortized time 𝑂(\log 𝑛).
\end{itemize}
```",na,"```latex
Here all bids must be retained because the same type of product can be sold multiple times on different days. In addition to heap \( H \) and the voter array as in part (a), we will have an array of \( m \) maximum heaps (lazy binomial or Fibonacci). \( H_j \) will contain all bids for product type \( j \). The heap \( H \) will contain the heads of all heaps \( H_j \), meaning the best bid for each type.

\textbf{Init:} For each \( j \), we construct an empty heap \( H_j \) and insert a zero bid into it. We construct \( H \) from the heads of the heaps and store pointers in an array.

\textbf{Bid:} We perform an \texttt{Insert} of \( p \) into heap \( H_j \). If its maximum has changed (and especially if it has increased), we perform \texttt{Increase-Key} as in part (a) to update the best bid for product type \( j \) within \( H \). Overall, \( O(1) \) amortized for both operations.

\textbf{Sell:} We perform \texttt{Delete-Max} twice on \( H \) to identify the two product types \( j_1, j_2 \) and their respective best bids \( p_1, p_2 \). We also perform \texttt{Delete-Max} in both heaps \( H_{j_1} \) and \( H_{j_2} \) to remove these bids and insert into \( H \) the two new heap heads, which are the next bids in line for these product types. We update the pointer array.

Overall runtime: \( O(\log n) = O(\log m) + O(\log n) \) amortized, because given \( 2m \ge n \) and there are at most \( m \) elements in \( H \) and at most \( n \) in each \( H_j \).
```",na,na,tested,,,,,TRUE,"\[
\textbf{b. Given are } m \textbf{ different types of products (numbered from 1 to } m\textbf{), with an unlimited quantity of each type. The auction is open for } n \textbf{ people place bids to purchase (each bid is for one unit of a product). At the end of each day, a pair of products of different types will be sold on which the highest bids were placed.}
\]

\[
\textbf{You are requested to implement a data structure for the auction that supports the following commands:}
\]

\begin{itemize}
    \item \textbf{Init(m)} – Initialize the structure with $m$ types of products and no bids.
    \item \textbf{Bid(j, p)} – Add a bid with price $p$ for a product of type $j$. The command should run in amortized time $O(1)$.
    \item \textbf{Sell() $\leftarrow j1, p1, j2, p2$} – Sell one unit of product from each of the two types that received the highest bid. (It can be assumed that there are at least two bids in the auction). The command returns the types of products $j1, j2$ that were sold and the prices $p1, p2$ that were paid for them, respectively. The command should run in amortized time $O(\log n)$.
\end{itemize}"
593,A,TRUE,2016,b,a,6,T3/ds16BA-sol.pdf,TAU,15,"```latex
The computer contains a large number of pages on the disk. The computer receives a stream of requests for different pages. To facilitate quick access to the pages, we have a cache memory of size \( n \) pages where we store the most recently requested pages, i.e., those that have been requested recently (LRU model).

Example: Suppose \( n = 4 \). After the stream of requests 6, 5, 9, 4, 5, 4, 7, the cache will contain the pages 7, 4, 5, 9, where 7 is the freshest and 9 is the stalest. If the next request is for page 3, then 9 will be evicted from the cache.

You need to implement a data structure for maintaining the cache that supports the following commands:
\begin{itemize}
    \item \texttt{Init(n)} – Initialize the structure with \( n \) slots for pages and no requests.
    \item \texttt{Access(x)} – Access page \( x \). If the page \( x \) is already in the structure, update the structure so that \( x \) becomes the freshest; otherwise, insert \( x \) as the freshest page and evict the stalest page if necessary. The command should run in expected time \(\mathcal{O}(1)\).
\end{itemize}
```",na,"```latex
We will store the page numbers in the cache as a (linked list sorted by recency, with the most recent at the end of the queue) with a length field, and also maintain a hash table that maps each page \( x \) in the cache to its node in the queue.

\textbf{Init:} Initialize an empty hash table with size \( 2n \) and an empty queue.

\textbf{Access:} If \( x \) appears in the hash, remove it from its current position in the queue (via the pointer) and insert it at the end of the queue. If \( x \) does not appear in the hash, create a node list for it, insert it at the end of the queue, and save \( x \) in the hash table along with the pointer to the node.

If the length of the queue has increased to \( n+1 \), then remove the page \( y \), which is at the head of the queue, both from the queue and from the hash.

We used a fixed number of operations in the hash table (each with an average of \( O(1) \)) and in the queue (each with \( O(1) \) because we accessed the head, tail, or via a pointer).
```",na,na,tested,,,,,TRUE,"The solution using a doubly linked list and a hashmap to achieve \(\mathcal{O}(1)\) time complexity for the \texttt{Access(x)} operation is as follows:

\[
\begin{array}{l}
\text{struct Node:} \\
\hspace{10mm} \text{int key, val;} \\
\hspace{10mm} \text{Node* prev, next;} \\
\\
\text{class LRUCache:} \\
\hspace{10mm} \text{private:} \\
\hspace{15mm} \text{unordered\_map<int, Node*> cache;} \\
\hspace{15mm} \text{Node* head, tail;} \\
\hspace{15mm} \text{int capacity, count;} \\
\\
\hspace{10mm} \text{public:} \\
\hspace{15mm} \text{LRUCache(int n) \{} \\
\hspace{20mm} \text{head = new Node();} \\
\hspace{20mm} \text{tail = new Node();} \\
\hspace{20mm} \text{head->next = tail;} \\
\hspace{20mm} \text{tail->prev = head;} \\
\hspace{20mm} \text{capacity = n;} \\
\hspace{20mm} \text{count = 0;} \\
\hspace{15mm} \} \\
\\
\hspace{15mm} \text{void addNode(Node* node) \{} \\
\hspace{20mm} \text{Node* temp = head->next;} \\
\hspace{20mm} \text{head->next = node;} \\
\hspace{20mm} \text{node->prev = head;} \\
\hspace{20mm} \text{node->next = temp;} \\
\hspace{20mm} \text{temp->prev = node;} \\
\hspace{15mm} \} \\
\\
\hspace{15mm} \text{void removeNode(Node* node) \{} \\
\hspace{20mm} \text{Node* prevNode = node->prev;} \\
\hspace{20mm} \text{Node* nextNode = node->next;} \\
\hspace{20mm} \text{prevNode->next = nextNode;} \\
\hspace{20mm} \text{nextNode->prev = prevNode;} \\
\hspace{15mm} \} \\
\\
\hspace{15mm} \text{void moveToFront(Node* node) \{} \\
\hspace{20mm} \text{removeNode(node);} \\
\hspace{20mm} \text{addNode(node);} \\
\hspace{15mm} \} \\
\\
\hspace{15mm} \text{int Access(int x) \{} \\
\hspace{20mm} \text{if(cache.find(x) != cache.end()) \{} \\
\hspace{25mm} \text{Node* node = cache[x];} \\
\hspace{25mm} \text{moveToFront(node);} \\
\hspace{25mm} \text{return node->val;} \\
\hspace{20mm} \} else \{} \\
\hspace{25mm} \text{if(count == capacity) \{} \\
\hspace{30mm} \text{Node* toRemove = tail->prev;} \\
\hspace{30mm} \text{removeNode(toRemove);} \\
\hspace{30mm} \text{cache.erase(toRemove->key);} \\
\hspace{30mm} \text{delete toRemove;} \\
\hspace{25mm} \} \\
\hspace{25mm} \text{Node* newNode = new Node();} \\
\hspace{25mm} \text{newNode->key = x;} \\
\hspace{25mm} \text{newNode->val = getFromDisk(x);} \\
\hspace{25mm} \text{addNode(newNode);} \\
\hspace{25mm} \text{cache[x] = newNode;} \\
\hspace{25mm} \text{count++;} \\
\hspace{25mm} \text{return newNode->val;} \\
\hspace{20mm} \} \\
\hspace{15mm} \} \\
\end{array}
\]"
599,A,TRUE,2017,a,a,2-a,T3/ds17AA-sol.pdf,TAU,na,"```latex
Given an ordered set \( S \). We define the rank of an element in a certain set as its position in a sorted array of the elements (with all elements having distinct values). Throughout the question, \( n \) denotes the current number of elements in the desired data structure.

1. Describe a data structure that supports the following operations:
   \begin{itemize}
       \item \texttt{Init()} – Initialize the structure in \( O(1) \) time.
       \item \texttt{Insert(x)} – Insert the element \( x \) into \( S \) in \( O(\log n) \) time.
       \item \texttt{Delete(x)} – Delete the element \( x \) from \( S \) in \( O(\log n) \) time.
       \item \texttt{Min()} – Return the element with the minimum rank in \( O(1) \) time.
       \item \texttt{Max()} – Return the element with the maximum rank in \( O(1) \) time.
       \item \texttt{AVG()} – Return the element with the smallest rank such that its value is greater than or equal to the average of the elements in the structure in \( O(1) \) time.
   \end{itemize}
```",na,"```latex
We will use a balanced binary tree with auxiliary fields that are updated with every insert/delete operation: pointers to the minimum and maximum elements (found by only traversing left or right from the root to the leaf), a pointer to the smallest element greater than or equal to the average, the number of elements in the tree, and the sum of the elements in the tree.

To maintain the pointer to the average element, when inserting, we will update the fields of the number of elements and sums, compute the average, and find the element closest to it from above using a search. Similarly, for the delete operation.

When calling Min/Max/AVG, we will return the element according to the appropriate pointer.
```",na,na,tested,,,,total points: 25.00,TRUE,"To achieve the desired data structure, we can use a balanced binary search tree (such as AVL tree, red-black tree, etc.) to store the elements in the set \( S \). 

1. \texttt{Init()} – Initialize the structure can be done by creating an empty balanced binary search tree. This can be done in \( O(1) \) time.

2. \texttt{Insert(x)} – To insert an element \( x \) into the set \( S \), we can simply insert \( x \) into the balanced binary search tree. Since the tree is balanced, the insertion operation takes \( O(\log n) \) time.

3. \texttt{Delete(x)} – To delete an element \( x \) from the set \( S \), we can simply delete \( x \) from the balanced binary search tree. Since the tree is balanced, the deletion operation takes \( O(\log n) \) time.

4. \texttt{Min()} – The element with the minimum rank in the set will be the leftmost element in the balanced binary search tree. Thus, we can return this element in \( O(1) \) time.

5. \texttt{Max()} – The element with the maximum rank in the set will be the rightmost element in the balanced binary search tree. Thus, we can return this element in \( O(1) \) time.

6. \texttt{AVG()} – To find the element with the smallest rank such that its value is greater than or equal to the average of the elements in the set, we first find the sum of all elements in the balanced binary search tree. Then, we can find the node whose value is the smallest one greater than or equal to the average by traversing the tree in a way that minimizes the rank. This can be done in \( O(1) \) time.

Therefore, the described data structure can support all the required operations efficiently."
600,A,TRUE,2017,a,a,2-b,T3/ds17AA-sol.pdf,TAU,na,"```latex
\documentclass{article}
\usepackage[utf8]{inputenc}

\begin{document}

Given an ordered set \( S \). Define the rank of an element in a given set as its position in a sorted array of the elements (all elements have different values). Throughout the question, \( h \) denotes the current number of elements in the required data structure.

In section (a), we described a data structure supporting the following operations:
\begin{itemize}
    \item \textbf{Init()} – Initialize the structure in \( O(1) \) time.
    \item \textbf{Insert(x)} – Insert the element \( x \) into \( S \) in \( O(\log n) \) time.
    \item \textbf{Delete(x)} – Delete the element \( x \) from \( S \) in \( O(\log n) \) time.
    \item \textbf{Min()} – Return the element with the smallest rank in \( O(1) \) time.
    \item \textbf{Max()} – Return the element with the largest rank in \( O(1) \) time.
    \item \textbf{AVG()} – Return the element with the smallest rank whose value is greater than or equal to the average of the elements in the structure in \( O(1) \) time.
\end{itemize}

(b) Describe a data structure that also supports the following operation:
\begin{itemize}
    \item \textbf{Stat(k)} – Return the \( k \)-th element by rank in \( S \) in \( O(\log k) \) time.
\end{itemize}

\end{document}
```",na,"The LaTeX translation of the text is as follows:

```latex
We will store at each node the size of the relevant subtree. When calling \texttt{Stat}, we will ascend the tree from the minimum element until we reach a node whose subtree size is at least \(k\). We will perform a recursive search in the aforementioned subtree downwards. At each step, we will compute the rank of the node by the size of the left subtree plus 1. By comparing to \(k\), we will know if we have finished or if we should continue to the right/left subtree. The tree is balanced, so the height of the minimal subtree of at least size \(k\) is \(O(\log k)\), which is the runtime.
```",na,na,tested,,,,total points: 25.00,TRUE,"The solution in Latex format is:

```latex
\documentclass{article}
\usepackage[utf8]{inputenc}

\begin{document}

Given an ordered set \( S \). Define the rank of an element in a given set as its position in a sorted array of the elements (all elements have different values). Throughout the question, \( h \) denotes the current number of elements in the required data structure.

In section (a), we described a data structure supporting the following operations:
\begin{itemize}
    \item \textbf{Init()} – Initialize the structure in \( O(1) \) time.
    \item \textbf{Insert(x)} – Insert the element \( x \) into \( S \) in \( O(\log n) \) time.
    \item \textbf{Delete(x)} – Delete the element \( x \) from \( S \) in \( O(\log n) \) time.
    \item \textbf{Min()} – Return the element with the smallest rank in \( O(1) \) time.
    \item \textbf{Max()} – Return the element with the largest rank in \( O(1) \) time.
    \item \textbf{AVG()} – Return the element with the smallest rank whose value is greater than or equal to the average of the elements in the structure in \( O(1) \) time.
\end{itemize}

(b) Describe a data structure that also supports the following operation:
\begin{itemize}
    \item \textbf{Stat(k)} – Return the \( k \)-th element by rank in \( S \) in \( O(\log k) \) time.
\end{itemize}

\end{document}
```"
607,A,TRUE,2017,a,a,4-a,T3/ds17AA-sol.pdf,TAU,na,"To define elements containing two fields – `type` and `value`. Let's assume the number of possible distinct values for the field `type` is \( k \). We are interested in building a data structure containing up to \( n \) elements that supports the following operations:
- `Insert(x)` – Inserts element \( X \) into the data structure in \( O(1) \) time.
- `AddToType(t,a)` – Increases the `value` field of all elements of type \( t \) by \( a \) in \( O(1) \) time.
- `AddToElement(a,x)` – Takes a pointer to element \( X \) and increases its `value` field by \( a \) in amortized \( O(1) \) time.
- `Max(t)` – Returns the maximum element among elements of type \( t \) in \( O(1) \) time.
- `MaxAll()` – Returns the maximum element in the structure (regardless of type) in \( O(1) \) time.

a. Propose such a data structure for \( k=4 \).",na,"```latex
We will create an array of size 4 that will hold each of the types. 
In each cell we will maintain: 
1. A pointer to a list that contains the elements of the same type. 
2. The maximal element in the list. 
3. An offset field initialized to 0. 

Additionally, we will maintain a field that holds the global maximum. Upon calling Insert, we will refer to the appropriate cell in the array. We will update the type's global maximum if necessary. We will subtract from the inserted element's value the value in the offset field. Then we will insert it into the elements list. Upon calling AddToElement, we will simply update the element's value and the maximums as needed. Upon calling max/maxAll, we will return the value of the relevant max field. When calling AddToType, we will update the offset field and the relevant maximums, and the global maximum if necessary.
```",na,na,tested,,,,total points: 25.00,TRUE,"To define a data structure for \( k=4 \), we can use a combination of an array of doubly linked lists and a max heap.

Let the data structure be represented as follows:

1. An array \( A \) of size \( k \), where each element of the array is a pointer to the head of a doubly linked list.
2. A max heap to keep track of the maximum element in the structure.

Each element containing `type` and `value` fields can be represented as a node in the doubly linked list.

The operations can be implemented as follows:

- `Insert(x)`: Insert the element \( x \) into the doubly linked list corresponding to its `type` in constant time. Update the max heap if the inserted element has a greater `value` field than the current maximum.
- `AddToType(t,a)`: Traverse the doubly linked list corresponding to type \( t \) and add \( a \) to the `value` field of each element in \( O(1) \) time.
- `AddToElement(a,x)`: Given a pointer to element \( x \), update the `value` field of the element by \( a \) and adjust the max heap accordingly. Since updating a node in a linked list and adjusting the max heap both take constant time, the amortized time complexity is \( O(1) \).
- `Max(t)`: Simply return the maximum element in the doubly linked list corresponding to type \( t \) in constant time.
- `MaxAll()`: Return the maximum element from the max heap in constant time.

This data structure achieves the desired time complexities for the specified operations."
